name,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_ESTROGEN_RESPONSE_EARLY.1,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
TCGA-55-8621,-0.094504231,0.289516551,-0.255654384,0.244940347,0.255808271,0.355505687,-0.069581283,0.25646108,-0.119844527,0.26784198,0.332402144,-0.436842381,-0.619379854,-0.033621868,-0.046226449,-0.127270448,-0.547710523,-0.429535187,0.471468143,0.072294131,-0.018703773,0.182028723,0.396546962,0.495954111,0.399771766,0.263280396,0.268904295,-0.120650128,-0.417721383,-0.657833143,-0.6159484,0.410144424,0.069472382,-0.517893363,-0.046218454,0.224913706,-0.066720666,-0.18679373,-0.407965269,-0.179537035,-0.085375757,-0.059795678,-0.139065765,-0.466177094,0.271167169,-0.199609265,0.254537234,0.093910214,-0.033621868,0.343609307,0.229416888
TCGA-55-A48Y,0.12814407,-0.037591452,0.282075883,0.502049077,0.00944745,0.122362006,-0.01528111,-0.036594558,0.310793947,0.052828831,0.00813254,0.022117098,0.320295883,0.124412752,0.138594108,0.228629471,0.338926465,0.168458776,0.098649738,0.032405388,0.008145535,-0.042338276,-0.051495588,-0.480942848,-0.284928393,-0.241989089,0.103832459,0.116338162,0.389001485,0.462306099,0.358509659,0.013083216,0.034944525,0.092727861,-0.075006361,0.2766738,0.073030781,0.059429801,0.341884447,0.247075162,-0.086497382,0.034610182,0.010178908,0.403629101,0.145280635,0.183397064,0.216449307,0.114795791,0.124412752,0.032022869,0.461145489
TCGA-55-A48Z,-0.369320357,-0.099618459,-0.269028155,0.010870672,0.012222659,0.218773289,-0.066367197,-0.254488674,-0.1026873,-0.083428409,-0.132406607,0.018766547,0.155272049,-0.149586901,-0.206430355,-0.406976158,0.122371733,0.062996861,0.28104195,-0.2373169,0.065231553,-0.108384426,-0.073525383,0.308671079,0.238407967,-0.021948191,-0.024682709,0.026856755,-0.267741663,-0.330282655,-0.312058387,0.081012364,0.226084049,-0.39602027,-0.08261864,-0.099361064,-0.251099823,-0.177772813,-0.343714428,-0.197643027,0.076610898,-0.242976015,-0.289193445,-0.334168378,-0.154323858,-0.093423536,0.09977672,-0.228171623,-0.149586901,-0.184745007,0.331678814
TCGA-55-A491,0.059112305,0.153039343,-0.10286424,-0.035305997,0.230998791,0.049295255,0.087444076,-0.096504383,0.224857362,0.154261715,0.209165951,0.145321349,-0.007260387,0.014412145,-0.064139371,-0.003814195,-0.248485673,0.254538286,-0.018762403,-0.11397661,0.153145985,0.157345476,0.155091696,0.073290936,0.002135583,0.125057513,0.157839423,-0.183036607,0.150552873,-0.198997606,-0.171817709,0.18811839,0.089768517,0.095335252,-0.01061783,0.135234122,-0.02417194,0.104501782,-0.169348094,-0.002464388,0.134007504,-0.291728254,-0.180933684,0.067999505,-0.274700308,0.14217926,0.024636464,0.03983525,0.014412145,0.159108625,0.189059448
TCGA-55-A492,0.302961439,-0.371282836,-0.224010721,-0.233989252,-0.230356483,-0.305969858,-0.218591689,0.287572818,0.050790739,0.133479715,-0.189904525,0.154523461,-0.497979483,0.019906449,0.073322745,0.464787643,-0.581465946,-0.005712887,-0.244379551,0.053811367,-0.166632819,-0.226299821,-0.434994355,-0.294613479,-0.389215961,0.111768966,-0.298838244,-0.480574835,-0.153982369,-0.124370255,-0.154850424,0.147025253,-0.00735167,0.49333809,0.112436943,0.418261062,0.141232723,-0.210430148,-0.198241437,0.53136064,-0.116007123,-0.402128125,-0.413901048,-0.148034472,-0.329080162,0.025890294,0.012308813,0.325354381,0.019906449,-0.467059243,-0.449339622
TCGA-55-A494,0.001882696,-0.562933817,-0.075712247,-0.111647347,-0.111524616,-0.092362553,-0.192212408,-0.080494559,0.057609658,-0.26673714,-0.41620465,-0.004448391,0.097801168,0.088717531,-0.001239664,-0.100454051,0.135896275,0.110737145,0.038541383,-0.012403319,-0.185683242,-0.200040699,-0.471400513,-0.484661044,-0.499471246,-0.045769234,-0.326950899,0.11677621,-0.087560968,-0.149567816,0.154404046,-0.220575191,0.172270314,-0.140502587,-0.118110864,-0.17314533,0.120828826,-0.124513965,-0.19805739,-0.244862747,0.142676633,0.062048998,-0.237352315,0.09684597,-0.116310417,0.043708566,-0.026596006,-0.167338984,0.088717531,-0.444528066,-0.391315545
TCGA-55-A4DF,-0.304201336,-0.015326761,-0.045674952,-0.368667585,-0.383927945,-0.009541475,-0.199153188,-0.171388242,-0.145329379,-0.399468791,-0.064548149,0.128752862,0.602527531,-0.304922304,-0.142174049,-0.080227422,0.526684578,-0.032099563,-0.300738203,-0.054926442,0.025584511,-0.160301878,-0.109827041,0.367025831,0.303441324,0.079414745,-0.278126645,0.160553581,0.291892369,0.174360871,-0.135466372,-0.2812843,-0.227308698,-0.193794105,-0.191335483,0.029390012,-0.1491052,-0.056656316,-0.019401123,-0.010583565,0.32850812,-0.211855236,-0.248642079,-0.007656741,-0.163477551,0.05564017,-0.100174259,-0.237832912,-0.304922304,-0.027538743,-0.395965407
TCGA-55-A4DG,-0.20986667,-0.264469825,-0.162635205,-0.388791506,-0.284846942,-0.084681107,-0.27031216,0.18194105,-0.13605075,-0.29364469,-0.290667793,-0.246079002,-0.472184842,-0.122143238,-0.211585804,-0.02842459,-0.410120091,-0.343980082,-0.047357159,-0.06451811,-0.310993779,-0.247735569,-0.231296355,-0.456542216,-0.417421555,0.004141303,-0.182150355,-0.126899136,-0.540574402,-0.568132754,-0.536738485,-0.085773416,0.147916002,-0.360815322,-0.153754271,-0.44220232,-0.025749941,-0.342139377,-0.233683451,-0.425785245,-0.08033117,-0.264896756,-0.277323683,-0.404459922,0.135273077,-0.27776885,0.211228324,-0.189510508,-0.122143238,-0.275704464,-0.445537415
TCGA-55-A57B,-0.185726849,-0.180594061,-0.364862793,-0.145227987,0.151688198,-0.135013962,0.067212577,0.000919453,-0.384024829,0.102846759,-0.13647194,-0.368637865,-0.501158903,-0.036979892,-0.164931513,-0.211326921,-0.452481618,-0.288892854,0.202422826,0.060190232,-0.146376098,-0.088572828,-0.006229833,0.160291961,-0.029910158,0.142063947,-0.027809914,0.085963897,-0.464919903,-0.549749375,-0.571642381,0.259284768,0.276156055,-0.522663001,0.043968933,-0.319844114,-0.262873708,-0.249263281,-0.231642099,-0.416548599,-0.102011813,0.187691405,0.011856106,-0.431264575,0.283612015,-0.254661138,0.187658251,-0.155006394,-0.036979892,-0.033334234,0.007250889
TCGA-62-A46O,0.00521566,-0.514278549,0.19092772,-0.479749157,-0.359353668,-0.181223584,-0.288690552,-0.230723363,-0.03526475,-0.355643598,-0.343720303,0.109867927,0.549251197,-0.043009206,0.007922485,-0.027909016,0.503683328,0.045131976,-0.517335747,0.00266385,-0.155852821,-0.390773826,-0.504875157,-0.20811518,-0.37310459,-0.185015087,-0.418691257,0.247175903,0.273255558,0.453969099,0.182243582,-0.329922963,-0.400565257,0.106787198,-0.300477758,-0.124487173,-0.111861374,0.088558818,0.422795142,0.066819557,0.2986552,-0.080321543,-0.372881178,0.260294006,-0.245949699,-0.12038056,-0.28652754,-0.073798587,-0.043009206,-0.451700177,-0.473820867
