"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"RXRB",2739.15962732497,0.0967972529771142,0.0585695491254466,1.65268905809382,0.0983941624229292,0.400937974357373,0.0670947429870344,"High vs Low","RXRB",0.400937974357373
"OXLD1",1149.87703721771,0.285797089925983,0.0956978306265703,2.98645317302138,0.00282234058861831,0.07397224169909,0.198099447094433,"High vs Low","OXLD1",0.07397224169909
"OR13C3",0.0429392655859334,-0.047797019809018,2.16501159604133,-0.0220770271606922,0.982386511679746,NA,-0.0331303695197888,"High vs Low","OR13C3",NA
"COL11A2",116.342007003264,0.638443811851173,0.216991536793239,2.94225213243923,0.00325834515764883,0.0795378278927009,0.442535528130585,"High vs Low","COL11A2",0.0795378278927009
"HLA.DOA",3810.18030019658,0.113562530392846,0.167686798453179,0.677229999262908,0.498260036721255,0.78534303345906,0.0787155477590544,"High vs Low","HLA.DOA",0.78534303345906
"BRD2",12219.2258308964,0.163794072707642,0.0626102587815373,2.61609001296672,0.00889431068544807,0.129884148874373,0.113533399689733,"High vs Low","BRD2",0.129884148874373
"HLA.DMA",9494.19116965599,0.0634135301419494,0.138311216119297,0.458484365340651,0.646604492535269,0.861687742122005,0.0439549096272452,"High vs Low","HLA.DMA",0.861687742122005
"COL5A2",10363.3797877299,-0.276317011749666,0.159762174645907,-1.72955214438016,0.0837103224653472,0.372486290126105,-0.191528357635031,"High vs Low","COL5A2",0.372486290126105
"PSMB8",5907.65509763576,0.17672595303602,0.101568810705093,1.7399628075704,0.0818655488672857,0.36843559796674,0.122497096078687,"High vs Low","PSMB8",0.36843559796674
"TAP2",2545.16735956155,0.108537762165714,0.110299770179653,0.984025279372127,0.325103083597255,0.660254061734022,0.0752326438294509,"High vs Low","TAP2",0.660254061734022
"SPIN3",188.732341701724,0.0754092176764737,0.0886700685842698,0.850447269078254,0.395076465429264,0.717134625937767,0.0522696866206789,"High vs Low","SPIN3",0.717134625937767
"TMEM235",0.794040055106353,0.473967415685012,0.310154714382078,1.52816447310594,0.126471707101301,0.446894189425212,0.32852917785935,"High vs Low","TMEM235",0.446894189425212
"PAGE3",0.332261508360486,-1.77936934273658,1.18056902817118,-1.50721330161693,0.131755991821128,NA,-1.23336484309266,"High vs Low","PAGE3",NA
"HLA.DRA",80048.4698337975,-0.063261754275654,0.150956350441604,-0.419073156515705,0.67516266805841,0.876677069772007,-0.0438497066134456,"High vs Low","HLA.DRA",0.876677069772007
"BTNL2",2.90270375753998,-0.324751213464045,0.222980759579555,-1.45640912730042,0.145279553901034,0.4739092210617,-0.225100387996024,"High vs Low","BTNL2",0.4739092210617
"COL15A1",3281.9538122249,-0.200085113202651,0.160294378510654,-1.24823537208045,0.211944873814146,0.555738640504143,-0.138688432088435,"High vs Low","COL15A1",0.555738640504143
"C6orf10",2.12945950845445,-0.121080621669319,0.257492934998319,-0.470228908106195,0.638191482818424,0.857104627318676,-0.0839266915305339,"High vs Low","C6orf10",0.857104627318676
"NOTCH4",1281.13023353153,0.022630860400115,0.110459404988865,0.204879434235558,0.837666323488566,0.945846401131861,0.0156865170799854,"High vs Low","NOTCH4",0.945846401131861
"PBX2",3520.03494817198,0.146463769629173,0.0656405443404234,2.23130035103893,0.0256612404477113,0.213659012204582,0.101520948972643,"High vs Low","PBX2",0.213659012204582
"AGER",4651.42173347124,-0.213742313358585,0.275696442869813,-0.775281360664911,0.438173420927824,0.74826459671739,-0.148154881870863,"High vs Low","AGER",0.74826459671739
"RNF5",2317.44182758538,0.0311019280736756,0.0711574870261092,0.437085813081954,0.662049115570299,0.869967373767641,0.0215582137542465,"High vs Low","RNF5",0.869967373767641
"AGPAT1",3431.06297898306,0.0707196450148394,0.0664761731156952,1.06383447933681,0.287403688791538,0.628377510761968,0.0490191225522362,"High vs Low","AGPAT1",0.628377510761968
"DFNB59",80.6696185776517,0.187306110415841,0.118752517559669,1.57728117487468,0.114730842023399,0.42816322670337,0.12983070233639,"High vs Low","DFNB59",0.42816322670337
"PRRT1",69.6575002804521,0.132024062255791,0.143761420563009,0.918355298234735,0.35843288549836,0.689238469495734,0.0915121065186723,"High vs Low","PRRT1",0.689238469495734
"FKBPL",409.881046627077,0.15632049005873,0.0819178202882422,1.90825988177772,0.0563576354409839,0.309840546169583,0.108353106947958,"High vs Low","FKBPL",0.309840546169583
"MRPL38",442.070053043826,0.211866493324636,0.0801429077253701,2.64360876511556,0.00820274070346732,0.124705036159922,0.146854662503094,"High vs Low","MRPL38",0.124705036159922
"SMIM5",249.498439441814,-0.0581429106167448,0.183567661008561,-0.316738309445656,0.751442177545191,0.91423865444892,-0.0403015945635456,"High vs Low","SMIM5",0.91423865444892
"ERICH2",137.254740087338,0.0165516487226299,0.166106834909953,0.0996445975964961,0.920626486232904,0.977370790260254,0.0114727286457094,"High vs Low","ERICH2",0.977370790260254
"SP5",316.463638521923,-0.248503625512697,0.242529771532373,-1.02463142542286,0.305537130742274,0.64473844563963,-0.17224958738305,"High vs Low","SP5",0.64473844563963
"STK19",634.586993758035,0.160975892195606,0.0643163224031091,2.50287774830583,0.0123188087459518,0.153452083945967,0.111579985813506,"High vs Low","STK19",0.153452083945967
"CD300LD",0.515054620314705,0.233859156541547,0.378272866068539,0.618228737821164,0.536424569079847,NA,0.1620988150049,"High vs Low","CD300LD",NA
