"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"ZNF566",-0.030382182781458,3.23054064688719,0.73226331223406,0.902582377598609,"High vs Low","ZNF566",0.902582377598609
"PSMD9",0.0246654781684859,4.58052432731883,0.73231088884597,0.902582377598609,"High vs Low","PSMD9",0.902582377598609
"DISP2",0.0626720447975037,1.94066539973097,0.732399342522687,0.902632444667295,"High vs Low","DISP2",0.902632444667295
"PCDHB12",-0.0465164681424533,1.16955161460832,0.732518128081099,0.90271988473966,"High vs Low","PCDHB12",0.90271988473966
"PXMP2",0.0303824090521678,3.214126447738,0.732579318046451,0.902736340006175,"High vs Low","PXMP2",0.902736340006175
"B9D2",0.0328880308663088,2.80645543104208,0.732670388715788,0.902774399943181,"High vs Low","B9D2",0.902774399943181
"GABRG1",0.110331056575943,-3.93294720297836,0.732711474437924,0.902774399943181,"High vs Low","GABRG1",0.902774399943181
"CPNE4",-0.0740746445706021,2.11829645358287,0.732753721791622,0.902774399943181,"High vs Low","CPNE4",0.902774399943181
"PHAX",0.0190024075266925,4.99622228424631,0.732951146694733,0.902958681895568,"High vs Low","PHAX",0.902958681895568
"UTP18",-0.0224354052534988,5.38252467900689,0.733090756433737,0.903018275156093,"High vs Low","UTP18",0.903018275156093
"COL6A1",0.0446886751071312,8.38252995682244,0.733143937602406,0.903018275156093,"High vs Low","COL6A1",0.903018275156093
"FAM133A",0.142713009702682,2.69529319803029,0.733170247095429,0.903018275156093,"High vs Low","FAM133A",0.903018275156093
"NIPAL1",-0.0486153881759487,2.48128244460889,0.733190928511561,0.903018275156093,"High vs Low","NIPAL1",0.903018275156093
"AGRP",-0.0735105037392644,-0.702717094621819,0.733320893815127,0.903032812460129,"High vs Low","AGRP",0.903032812460129
"DKC1",0.0273513314820646,6.44251989127051,0.733369969472422,0.903032812460129,"High vs Low","DKC1",0.903032812460129
"MRGPRE",-0.130148822248109,-1.91348560050663,0.733376592260748,0.903032812460129,"High vs Low","MRGPRE",0.903032812460129
"BTRC",-0.0215691130897178,4.78926449195821,0.733394143594083,0.903032812460129,"High vs Low","BTRC",0.903032812460129
"DHRS12",-0.0286726165704331,3.69405545950523,0.733697045259363,0.903261026343178,"High vs Low","DHRS12",0.903261026343178
"XCR1",0.0645105140166818,1.34781181414061,0.733732436280532,0.903261026343178,"High vs Low","XCR1",0.903261026343178
"ZNF792",-0.0290342950055173,2.86782493544547,0.733745055560132,0.903261026343178,"High vs Low","ZNF792",0.903261026343178
"VAX2",0.0664328906371678,0.402545509771484,0.733779062578428,0.903261026343178,"High vs Low","VAX2",0.903261026343178
"ETHE1",-0.0381339053753553,4.81018761102374,0.733818811661664,0.903261026343178,"High vs Low","ETHE1",0.903261026343178
"DHRS7B",-0.0306168773392297,4.88013799191165,0.733902611530248,0.90329352703992,"High vs Low","DHRS7B",0.90329352703992
"GPR143",0.058108675236043,2.2004949207681,0.733966348750335,0.90329352703992,"High vs Low","GPR143",0.90329352703992
"MYL6",-0.0303578230768729,9.75805605190451,0.734005828522737,0.90329352703992,"High vs Low","MYL6",0.90329352703992
"CSTF3",-0.0200931111824316,5.03787957586853,0.734070665200135,0.90329352703992,"High vs Low","CSTF3",0.90329352703992
"MET",-0.0696706255014511,8.07344710785337,0.73408454934472,0.90329352703992,"High vs Low","MET",0.90329352703992
"MIOX",0.0955575781013114,0.906750935687422,0.734302165736693,0.903489625265301,"High vs Low","MIOX",0.903489625265301
"PRKCD",-0.0259256901508678,6.54515494428488,0.734339667867055,0.903489625265301,"High vs Low","PRKCD",0.903489625265301
"SNRPE",-0.0312002916834605,5.8595684390515,0.73449437252616,0.903621051172903,"High vs Low","SNRPE",0.903621051172903
"COLGALT1",-0.0263197572588164,7.09045544903247,0.734559679881134,0.903642484943734,"High vs Low","COLGALT1",0.903642484943734
"TEF",0.0422657720227536,5.09328900245724,0.734652284819651,0.903697494741649,"High vs Low","TEF",0.903697494741649
"STEAP1",-0.0614896426170477,4.65851494229776,0.734751575537397,0.903717305127481,"High vs Low","STEAP1",0.903717305127481
"FBXL7",0.0445775306138268,3.34973164114439,0.734769462203419,0.903717305127481,"High vs Low","FBXL7",0.903717305127481
"GRAP",-0.0428341207517047,0.819726416837722,0.734900952637233,0.903717305127481,"High vs Low","GRAP",0.903717305127481
"PIP4K2C",0.0332111145763273,6.53941345470146,0.734914358667375,0.903717305127481,"High vs Low","PIP4K2C",0.903717305127481
"SCNN1A",0.0497122395912279,8.5572205808282,0.734955144040843,0.903717305127481,"High vs Low","SCNN1A",0.903717305127481
"RWDD4",-0.0231851094810689,3.57335193661016,0.735028834824252,0.903717305127481,"High vs Low","RWDD4",0.903717305127481
"SPATA22",-0.127073659102839,-3.38796742362449,0.735049765837098,0.903717305127481,"High vs Low","SPATA22",0.903717305127481
"ZNF396",-0.0380036127652098,2.31450348082957,0.735051503174273,0.903717305127481,"High vs Low","ZNF396",0.903717305127481
"B3GAT3",0.0293190188932893,5.67596262083588,0.735201076189637,0.903735485273032,"High vs Low","B3GAT3",0.903735485273032
"KRBOX1",0.0805927749717612,-0.554789659269381,0.735252336897068,0.903735485273032,"High vs Low","KRBOX1",0.903735485273032
"SPTA1",-0.0905021802375341,-1.60356041405574,0.735417037099043,0.903735485273032,"High vs Low","SPTA1",0.903735485273032
"LYPD3",0.0852344138592068,4.49981738174177,0.735466113385168,0.903735485273032,"High vs Low","LYPD3",0.903735485273032
"SH3YL1",-0.0318932025510135,6.16437620721426,0.73549014220406,0.903735485273032,"High vs Low","SH3YL1",0.903735485273032
"ARL2.SNX15",-0.131717320965232,-4.22801513128926,0.735491028910127,0.903735485273032,"High vs Low","ARL2.SNX15",0.903735485273032
"PUS7",0.0338599118960995,4.69444044036888,0.735563315830814,0.903735485273032,"High vs Low","PUS7",0.903735485273032
"HS3ST3B1",-0.0449723845448767,2.55187438624075,0.735581626751532,0.903735485273032,"High vs Low","HS3ST3B1",0.903735485273032
"PPM1N",0.061654673799384,1.43893605633683,0.735585429742561,0.903735485273032,"High vs Low","PPM1N",0.903735485273032
"CDKN1B",0.0243090591452115,6.18221795107009,0.735601865699698,0.903735485273032,"High vs Low","CDKN1B",0.903735485273032
"GAD2",0.100888753604592,-4.20635277889501,0.735646838615625,0.903735485273032,"High vs Low","GAD2",0.903735485273032
"IGSF10",0.0750092920446334,3.13602042986086,0.735682061836561,0.903735485273032,"High vs Low","IGSF10",0.903735485273032
"ZNF629",0.0285759176610182,5.46484956305173,0.735688862527917,0.903735485273032,"High vs Low","ZNF629",0.903735485273032
"ZNF136",-0.0252131589364156,3.42670327206171,0.735751036104501,0.903753030158696,"High vs Low","ZNF136",0.903753030158696
"LRRC1",0.0292038281979152,4.81142985564439,0.735824970406834,0.903755476318262,"High vs Low","LRRC1",0.903755476318262
"CCDC12",0.0272243169735161,5.29575628640611,0.735848810006364,0.903755476318262,"High vs Low","CCDC12",0.903755476318262
"MANSC1",-0.0429119390088801,5.32622732833181,0.735973794605525,0.903850154757313,"High vs Low","MANSC1",0.903850154757313
"C15orf39",0.0262456036123399,5.94971231410558,0.736111960040953,0.903927864858888,"High vs Low","C15orf39",0.903927864858888
"RPL41.1",-0.043605842047989,4.00348968336975,0.736132871980891,0.903927864858888,"High vs Low","RPL41.1",0.903927864858888
