"","logFC","AveExpr","t","P.Value","adj.P.Val","B","group","genesymbol"
"MIIP",2.10795281710533,11.4066722195114,3.34785749766883,0.000960840363053731,0.292558097209804,-0.904981160955946,"High vs Low","MIIP"
"CHL1",-1.80183910039108,3.11733950333249,-3.33953748999765,0.000988614371334748,0.295541772608835,-0.927287825130367,"High vs Low","CHL1"
"TFAP4",0.393609842477793,2.16105646349335,3.31622091931052,0.00107048951386256,0.301709144928558,-0.989539398677371,"High vs Low","TFAP4"
"PRR3",0.804170829974157,4.1859507493965,3.29549524419688,0.00114852609770128,0.301709144928558,-1.04454864753398,"High vs Low","PRR3"
"AAAS",1.4748569214784,9.88628457935949,3.29098524834551,0.0011661942190828,0.301709144928558,-1.05647829830219,"High vs Low","AAAS"
"KIAA1715",-0.866677072644333,5.20041962982968,-3.28764043246458,0.0011794606808264,0.301709144928558,-1.0653164829128,"High vs Low","KIAA1715"
"EDC4",1.20988186916707,7.21198576003525,3.28563929528095,0.00118746473789237,0.301709144928558,-1.07060037269309,"High vs Low","EDC4"
"AKAP8",0.892402871879962,7.97140708979,3.27866593340389,0.00121575303786182,0.301709144928558,-1.08899077728761,"High vs Low","AKAP8"
"DUS3L",0.949302945402738,5.58989556193518,3.27344063786197,0.00123735951992855,0.301709144928558,-1.10274832801502,"High vs Low","DUS3L"
"DDTL",0.435275400783154,1.43708428721779,3.26215979235987,0.00128522867911612,0.301709144928558,-1.13238275741243,"High vs Low","DDTL"
"UBALD1",1.39645023957463,7.19864399728386,3.2571645259427,0.00130697068306651,0.301709144928558,-1.14547605204367,"High vs Low","UBALD1"
"POLL",0.685047103705489,5.49903768069825,3.25085826505729,0.00133490696344685,0.301709144928558,-1.16198010533716,"High vs Low","POLL"
"PRSS45",0.194410427030754,0.426738587480043,3.24976514955195,0.00133980543798859,0.301709144928558,-1.16483798719344,"High vs Low","PRSS45"
"ACVR1",-2.04741841049419,13.4099849808921,-3.24929337412426,0.0013419247146912,0.301709144928558,-1.16607114965629,"High vs Low","ACVR1"
"TMBIM1",-8.62570371313135,48.0577955155587,-3.23354821294266,0.00141446614655161,0.301709144928558,-1.2071354197835,"High vs Low","TMBIM1"
"SLC4A5",0.242641651145373,0.421760221001009,3.2302215138972,0.00143025162473614,0.301709144928558,-1.21578885551638,"High vs Low","SLC4A5"
"KDM2B",0.357552841224568,2.45462566874268,3.2258364427093,0.0014513090586627,0.301709144928558,-1.2271831838204,"High vs Low","KDM2B"
"ANAPC2",1.38585095564391,7.71089789113492,3.22428908988686,0.00145880798380296,0.301709144928558,-1.23120058151428,"High vs Low","ANAPC2"
"CEP131",1.61496084742363,6.50470557694363,3.22058292711411,0.00147691558006382,0.301709144928558,-1.24081590318258,"High vs Low","CEP131"
"SUGP1",0.569694651811447,5.14578082987383,3.21805130660622,0.00148940423441776,0.301709144928558,-1.24737829497065,"High vs Low","SUGP1"
"ZNF276",0.648115063953237,3.05183034469235,3.21482253509198,0.00150547414807381,0.301709144928558,-1.25574112829024,"High vs Low","ZNF276"
"TM9SF2",-10.1253022015387,68.4238552946516,-3.20921935982197,0.00153374400652981,0.301709144928558,-1.27023608460724,"High vs Low","TM9SF2"
"UBE2G2",2.10012518779642,12.596079656623,3.20840257955841,0.00153790580627838,0.301709144928558,-1.27234714010126,"High vs Low","UBE2G2"
"DACT2",2.92493372753902,3.12116814676149,3.2081806453395,0.00153903845192899,0.301709144928558,-1.27292066967087,"High vs Low","DACT2"
"NARFL",0.593043481376744,3.73458882604397,3.20540867183673,0.00155325059762267,0.301709144928558,-1.28008110345442,"High vs Low","NARFL"
"SPRN",0.302736110786791,1.28261437456836,3.20034115362357,0.00157954725639208,0.301709144928558,-1.29315696732152,"High vs Low","SPRN"
"PDP2",0.356917509406163,2.06377816921305,3.20029461799724,0.00157979064301215,0.301709144928558,-1.29327695876712,"High vs Low","PDP2"
"ZNRF1",0.782074054444908,3.68643964971221,3.19884647654701,0.00158738198527635,0.301709144928558,-1.29701019041253,"High vs Low","ZNRF1"
"LMAN2L",-1.51253160338951,11.6924954004777,-3.19864790692883,0.0015884255449217,0.301709144928558,-1.29752197443834,"High vs Low","LMAN2L"
"RBM10",2.58324416219665,16.8346236401258,3.19845490487204,0.00158944045433281,0.301709144928558,-1.2980193816437,"High vs Low","RBM10"
"PPIL2",1.36868928631997,7.5772940214871,3.19378352923649,0.00161418918654698,0.301709144928558,-1.31005031223649,"High vs Low","PPIL2"
"ENTHD2",0.665824198993763,3.29026988800276,3.19315726895675,0.00161753410218673,0.301709144928558,-1.31166202247626,"High vs Low","ENTHD2"
"CDK10",2.27021122719946,9.02908726814836,3.18872633444158,0.00164138427588538,0.301709144928558,-1.32305715550908,"High vs Low","CDK10"
"HGS",1.92711537764479,11.4830420198459,3.18727479340956,0.00164926800220004,0.301709144928558,-1.32678703442334,"High vs Low","HGS"
