"","TCGA-44-7660","TCGA-97-A4M6","TCGA-97-7937","TCGA-62-A472","TCGA-49-6743","TCGA-64-1676","TCGA-86-8279","TCGA-97-A4M5","TCGA-55-8208","TCGA-95-A4VN","TCGA-86-8668","TCGA-NJ-A4YQ","TCGA-44-2661","TCGA-97-7553","TCGA-50-5068","TCGA-L9-A7SV","TCGA-NJ-A55R","TCGA-97-A4M7","TCGA-49-4514","TCGA-44-5643","TCGA-93-7347","TCGA-95-A4VK","TCGA-44-7667","TCGA-MP-A4TI","TCGA-55-6979","TCGA-44-6778","TCGA-86-8358","TCGA-38-6178","TCGA-49-4506","TCGA-97-8172","TCGA-O1-A52J","TCGA-49-AAQV","TCGA-53-7626","TCGA-97-A4M2","TCGA-50-5931","TCGA-L9-A743","TCGA-50-8457","TCGA-MP-A4T9","TCGA-44-7672","TCGA-97-8175","TCGA-55-8087","TCGA-97-A4LX","TCGA-55-8615","TCGA-49-6745","TCGA-49-AARQ","TCGA-97-A4M1","TCGA-83-5908","TCGA-97-8179","TCGA-44-3396","TCGA-53-7624","TCGA-L9-A50W","TCGA-86-7713","TCGA-49-AARE","TCGA-49-AAR0","TCGA-55-6980","TCGA-MP-A4SY","TCGA-49-6744","TCGA-86-8671","TCGA-49-4510","TCGA-97-8177","TCGA-50-7109","TCGA-78-8660","TCGA-97-7547","TCGA-49-6742","TCGA-50-5946","TCGA-86-8054","TCGA-MP-A4TD","TCGA-95-7944","TCGA-NJ-A4YF","TCGA-91-A4BD","TCGA-55-7994","TCGA-97-8171","TCGA-55-6642","TCGA-86-A4P8","TCGA-49-AARO","TCGA-J2-8192","TCGA-62-A46O","TCGA-86-A4JF","TCGA-L9-A8F4","TCGA-55-8507","TCGA-95-7948","TCGA-44-6148","TCGA-MN-A4N1","TCGA-49-4505","TCGA-50-5942","TCGA-J2-8194","TCGA-97-A4M0","TCGA-95-7567","TCGA-95-7947","TCGA-MP-A4TH","TCGA-97-7554","TCGA-49-AAR3","TCGA-44-A479","TCGA-4B-A93V","TCGA-38-4626","TCGA-55-6970","TCGA-55-1596","TCGA-62-A471","TCGA-86-A456","TCGA-MP-A4TF","TCGA-44-A47A","TCGA-NJ-A4YG","TCGA-93-A4JN","TCGA-50-5066","TCGA-49-AAR2","TCGA-86-8669","TCGA-MP-A5C7","TCGA-MN-A4N4","TCGA-50-6593","TCGA-55-7728","TCGA-55-8090","TCGA-55-8514","TCGA-62-A470","TCGA-55-8614","TCGA-97-8552","TCGA-55-8092","TCGA-55-6983","TCGA-44-7659","TCGA-55-7724","TCGA-55-7570","TCGA-55-A4DF","TCGA-55-7573","TCGA-MP-A4TA","TCGA-55-7907","TCGA-55-5899","TCGA-55-7574","TCGA-86-8073","TCGA-93-A4JP","TCGA-64-1678","TCGA-44-2657","TCGA-86-7953","TCGA-62-A46S","TCGA-55-8204","TCGA-50-5055","TCGA-44-6776","TCGA-86-8673","TCGA-44-A4SS","TCGA-55-8085","TCGA-64-1679","TCGA-55-8505","TCGA-55-8621","TCGA-44-3398","TCGA-05-4417","TCGA-55-8096","TCGA-99-7458","TCGA-55-6986","TCGA-44-6145","TCGA-99-8025","TCGA-86-7711","TCGA-86-8075","TCGA-86-7955","TCGA-86-A4P7","TCGA-64-5774","TCGA-64-1680","TCGA-50-5044","TCGA-55-7903","TCGA-55-8508","TCGA-55-A4DG","TCGA-55-7726","TCGA-05-4430","TCGA-55-8513","TCGA-05-4420","TCGA-62-A46P","TCGA-62-A46V","TCGA-55-6987","TCGA-55-7281","TCGA-44-2655","TCGA-86-8674","TCGA-L4-A4E6","TCGA-05-4427","TCGA-55-8301","TCGA-55-8510","TCGA-55-8302","TCGA-05-4405","TCGA-55-6971","TCGA-55-A48Z","TCGA-05-5428","TCGA-55-8097","TCGA-99-8028","TCGA-86-7701","TCGA-44-7670","TCGA-05-4249","TCGA-55-A492","TCGA-S2-AA1A","TCGA-55-8091","TCGA-55-8206","TCGA-55-8094","TCGA-05-4382","TCGA-44-7661","TCGA-55-8205","TCGA-55-7283","TCGA-55-A48Y","TCGA-55-7995","TCGA-44-3919","TCGA-55-7725","TCGA-L9-A5IP","TCGA-55-8619","TCGA-55-7227","TCGA-55-6543","TCGA-55-6982","TCGA-50-5045","TCGA-05-4398","TCGA-55-A57B","TCGA-55-8207","TCGA-55-7576","TCGA-55-A494","TCGA-44-7671","TCGA-44-6774","TCGA-50-6594","TCGA-55-A491","TCGA-95-8039","TCGA-86-8076","TCGA-44-2659","TCGA-55-8203","TCGA-44-3917","TCGA-64-5778","TCGA-55-7815"
"KLK14","   74","   19","   34","   10","    3","    7","    9","  104","   10","   24","    1","   19","   36","   21","    9","   17","   79","   33","    9","    6","   21","    2","  359","   15","    7","   59","   40","    4","    0","   57","   28","   33","   16","   29","   14","   20","    9","   11","    4","    0","   45","   12","   36","   12"," 1804","   44","   36","   17","   19","   33","   20","  252","   43","  644","   29","   17","   74","    8","  629","   28","   94","    4","    0","   16","    7","   93"," 2863","   39","  329","   10","    7","    6","   54","   34","   21","    7","    2","    6","  168","  190","    8","   37","   18","   18","   11","    4","   16","    5","    9","    9","    2","   16"," 9512","    5","   21","    1","    9","   12","   13","   42","   12","   20","   14","    2","   25","  387","    9","   10","    4","   40","   11","    7","   18","  135","  149","   19"," 5358","   10","    6","   33","  342","    9","    9","   11","  101","    8","   42","   31","12031","   16","20168","    3","  133","   21","    3","  169","    6","    4","    4","    6","   24","    9","   73","   24","   57","    4","   19","   26","    9","    7","   21","   34"," 7291","    4","    1","    3"," 1844","    6","    6","   13","   15","68313","   36","    9","   11","    6","   13","  204","   11","    2","    4","    3","    2","   10","   37","   11","    2","   26","   12","  638","    5","   25","   11","   23","    4","   27","   25","   24","    6","    5","    8","    1","  513","  133","    3","   14","   44","    8","    2","   14","    5","   40","   29","   29","    3","   22"," 1124","   62","    2","    4","   43","  266","   15","24201","   10","   11","   12"
"GPR12","   6","  77","   1","   0","   0","  10","   9","  33","   1","   2","   7","   0","   2","   5","   3","   2","   2","   0","   0","   0","  91","   1"," 139","   0","   0","   0","   6","   3","   0","   7"," 184","  14"," 443","   2","   5","  95","  24","  51","  28","   0","   0","   1","   7","   1","   0","   5","   0","   5","   1","   0"," 135","   5","  39","   3","  52","  73","  49","   1","  20","   2","   2","  84"," 609","   0","   0","  65","   0","   0","   2","   2","   0","   1","   1","   2"," 137","  46","   0"," 115","   0","   0","1072","   9","  38"," 278","   1","   0","   0","   0","   1","   1","   1","   1","   0","   0","   1","   0","   2","   0","   0","   0","   0"," 628","   1","   1","   0","   0","   0"," 107","   1","   3","  42","  16","   0","   0","  26","   0"," 110","  23","   2","   0","   0","   5","   0","  62","   0","  17","  23","   3","   0","  15","   0","   0","   4","   7","   1","   0","   1","   1","   2","   1","  11","   5","   2","  11","  28","  18","   1","   2","   0","  44","   2","   8","   0","  71","   0","   1","  43","   3","   0","   3","  13","   0","   0","   0","   4","  24","  68","   0","   0","   0","  46","   7","  10","   0","   8","   0","   0","  13","   3","   0","   3","  47","   1","   2","   0","   0","   0","   0","   3","   1","   0","   0","   0","   4","   8","   3","  20"," 168","   0","  31","  16","  11"," 182","  41","  32","   4","   1","   0","   1","   0","   5","  14","   7","  64","   0","   1","   0"
"CGA","     3","     0","     2","     0","     1","     0","     1","    11","     0","     2","     0","     0","     0","     0","     0","     0","  1014","     0","     3","     0","     4","     0","    77","     1","     1","     3","     2","     1","    12","     0","     3","     4","     3","     0","     7","     0","     0","     1","     2","    21","     1","     0","     6","     2","     2","     0","    24","     0","    13","  8792","     1","   542","     2","     8","     0","    18","     0","     2","    15","   410","   297","     0","     0","   157","     1"," 62082","   617","   166","     3","     0","     0","     0","    51","     0","     0","    10","102221","     2","     1","   231","     1","     3","     0","     1","     0","     1","     0","     9","     2","     5","     1","     0","  3021","  8829","     1","     7","    10","    56","     1","     0","     1","     1","     1","     7","  2459","   119","     0","     0","     0","     0","     0","     3","    11","     4","     0","    13","    25","     0","     2","     6","    40","     1","    10","     4","   502","    15","     1","     0","    26","     1","     6","    16","     0","     2","     5","     6","     0","     1","     1","     3","     0","     3","    17","    48","    10","     0","     0","    24","     1","    12","   121","     2","    42","     1","     1","     1","    52","    38","     0","    11","     0","  3546","     1","     0","     6","     1","     3","     3","     0","     0","     0","     1","     0","     3","     1","     0","    16","     0","     0","    59","    13","     2","     6","     2","     3","     1","    19","     5","     1","     0","     0","     1","     1","     1","     0","   321","     1","     0","     0","     0","     0","     0","     2","     0","     1","     2","     1","    35","     0","     0","     1","     0","     0","     0","    72","     0","     4"
"COL2A1","13364","   38"," 3267","   29","    8","    1","   14","    9","  241","    5","    6","   11","    5","    5","    0","    8","   11","   11","    2","    9","    1","   11","   10","   16","    5","  194","  106","   18","    5","   61","  685","   37","   20","   19","  112","    3","    1","   13","    8","    2","    1","    3","  764","    0","    2","   13","    2","   57","    8","   14","   15","   71","  193"," 2031","    4","    4","    4","    5","   21","    7","    2","    2","    5","    1","   45"," 3378","    6","    0","    6","    0","    4","   68","    6","    6","   16","   33","   20","    5"," 9853","   16","    3","  244","   51","   11","    0","   55","    7","   13","    6","   10","   10","    2","   12","    3","   13","    3"," 7059","    3","    2","    7","    2","   24","   28","    2","   83","    2","   49","    6","  162","    4","    6","    4","    3","  339","    6","    3","    2","    0","    0","   44","  210","   39","    9","    4","    3","    0","   11","    3","  104","   12","    4","    2","   13","    5","    6","    9","    5","    9","   96","    4","   25","    6","    5"," 1259","    2","    1","    1","    4","    4","   38","    2","    3","  109","    7","    1","    0","    1","   33","   32","   28","    0","  176","    0","    1","    2","    1","    1","    3","    4","    2","    2","    6","    6","    2","    2","    8","    0","    9","    9","    1","  359","    4","   19","    0","    5","    3"," 1433","   56","   11","    4","    3","    0","   27","    3","    0","    5","    4","    2","    4","    1","    8","   16","    6","    8","    1","   23","    7","  531","    2","    9","   17","    6","   81","    4","    1","    0","    0"
"RHCG","   63","   17","    4","    0","   23","    6","    3","   17","   26","    2","    0","  138","    5","    4","    3","    0","   91","    9","    8","    3","    2","   92","    3","   16","   29","    8","   54","    1"," 1586","   83","   10","   97","   10","   18","   51","    5","    4","  108","   12","    4","   19","   10","    2","    2","   49","    7","    1","    6","    3","  120","   13","    3","  445","   23","    8","    0","   25","    9","   10","   51","    2","    1","    9","  207","    7","    4","   11","  218","   21","    5","    1","   18","    0","    2","    7","   44","   10","    1","   14","    2","   69","    6","   57","    6","    2","    6","    5","    0","    4","   10","    2","    3","    8","    3","   21","   25","   54"," 1060","   16","  106","   46","    1","    7","    5","   14","   23","    0","   59","    7","  112","    0","    4","    0","   17","   14","    3","   44","    1"," 2384","   45","   23","    3","  535","    1","    9","   12","    8","  165","   11","    3","   57","    2","  968","   42","    3","   36","  115","   47","    4"," 1583","    0","   10","   11","    4","   10","    5","   32","    1","42996","   22","   52","   12","    2","    0","    2","    6","   20","    6","  570","   13","   47","  139","   11","    0","   92","    0","    7","    8","    3","    1","   55","    9","   12","    2","   71","   35","    0","   15","    8","    3","  322","   13","    2","    7","    4","   20","    1","   83","    1","    7","    2","    9","   93","    8","    1"," 1840","   19","   15","    1","   71","   43","  206","    3","   16","    2","    9","   23","    1","  151","  475","   10","   13","    2","   17","    2","    4","    0"
"MAPK4","  483","   32","    2","   19","   23","    3","  460","  387","   48","   21","  315","   14","  522","  200","   10","    0","  421","  106","  163","    6","    7"," 3690","    2","   32","   34","  113","  100","   12"," 8864","  189","   14","   13","  333","  151","  262","   48","   25","  328","   28","   67","  248","   22","   13","   44","  122","  246","   10","   50","    5"," 4348","  370","  272","    6","  118","   11","   18","   41","   41","   17","  279","   11","   15","   53","  243","   76","  816","   11","  293","    2","   14","    4","  316","    7","  481","   19","   20"," 5740","   13","  121","   38","  539","  662","    0","   10"," 2067","   30","   13","    4","   32","   28","   28","    1","    4","    0","  410","10806","    3"," 2121","   71","  139","  178","   43","  863","    6","   31","   42","   17","    4","   19","  136","   55","   13","   10","   36","  107","    2","  105","    2","   67","    8","   57","  205"," 1824","    2","  217","   36","   81","  422","    2","   62","   29","   52","   41","   13","   42","   61","   11","  123","    3","   92","  331","  106","   25","    9","   77","   55","   34","   12","    4","   43"," 1695","  171","    7","   16","   25","   14","   64","   15","   10","   57","  126","    4","  321","    2","  767","    5","  109","   95","  221","   13","   75","   72","    5","   27","   31","   53","    0","   74","   35","   10","  306","  794","    6","   39","   13","  232","    6","    3","   74","   46","   56","   22","    8","   18","   30"," 2684","  211","   20","  114","    2","   28","   20","  126","   54","   30","    0","   27","   18","    0","    9","  121","  172","   15","   29","    1","    2","    1"
"MAEL","   48","   61","    5","    0"," 3295","    9","   23","   12","    3","    5","   10","    0","   30","    0","   14","    5","17579","    6","    1","    1","   18","   17","  675","   14","    8"," 2562","   40","    8","    1","   14","    3","    5","   10","    4","    8","    5","   11","    4","   11","    6","   19","   15","    1","    8","    2","    9","    4","   18","   91","   12","    9","    0","   18","   13","   25","   27","   18","   12","    7","   55","    0","    0"," 3413","   11"," 2941","    4","   32","    4","    2","    0","    0","   17","    7","   11","    5","   77","  714","    1","   10","    0","    5","    0"," 1122","   18","   15","    1","   32","   23","    1","    2","  687","    2","    8","    0","    8","    1","    1","    0","    2","    0","   83","   11","    4","   10","   39","    6","    4","21853","   14","   12","    7","    6","    0","    2","   13","    9","   41","   18","    3","    3","   10","    3","    7","    2","   42","   13","   34","    3","    3","    7","   13","    8","    6","    7","    4","    0","   50","    6"," 4409","   21","   11","   33","    4","   41","   15","    3","    3","   19","   10","   33","  226","    1","    0","    6","    4","    1","    4","    8","    5","   18","    4","    5","    1","   22","    5","   17","   23","    1","    4","    0","    4","    4","    0","   10","    3","   19","    8","   13","    4","    1","   10","   20","    2","   53","   20","   27","   16","   69","    1","    2","    0","    3","   37","    9","    4","    1","   10","   17","    7","   11","   40","   25","   12","   37","    7","    0","   13","   17","    4","    6","   13","    7","   35","   20","    7","    7","   11"
"S100A7","1876","   6","   4","   1"," 264","   0","  63","   3"," 634","  18","   3","   2","   2","   0","   0","   0","   7","  15","   2","  12","  19","   0","   0","   6","  23","   5","  20","   0","1444","   5","   0","  28","   0","  65","  25","  19","   0","   2","   3","   1","   0","   0","   1","   0","   4","   2","  37","   0","   7","   8","   0","   0","   3","  21","   1","   6","   8","  10","   3","   3","   0","  12","   0","   1","   7","   6","   1","  37","   5","   0","   0","   3","   0","   1","   6"," 837","  23","   7","   5","   1","   8","   0","  55","   4","   0"," 211","   3","   3","   7","   0","   2","   0","   5","   1","   7","   4","   0","  13","   0","  18","  36","   2","   2","   4","   1","   3","   0"," 320","   0","   8","  21","  10","   0","   2","  16","   1","   1","   0"," 332","   0","   3","   0","  42","   0","   0","   2","   1"," 857","   3","   0","   0","   0","6281","   0","   0","  11","   4","   0","  38","   7","   1","  16","   1","   7","   1","   3"," 558","   1","1215","   2"," 346","   0","   2","   0","   5","   5","1223","   1","2390","   0","   0","   2","   0","   6","1964","   0","   2"," 105","   1","   1","   3","  21","   3","   1","   0","  14","   1","   0","  42","  18","   1","   0","   0","   0","   4","   1","  12","   4","  26","   0","   0","   0","   0","  19","   2","1134","   7","   0","   6","   0","  15","1960","   6","   2","   0","   0","   0","   0","   0","   0","   3","  45","   1","  79","   0","   0","  19"
"PKLR"," 14","  0","  2","  2","  2","  1"," 11","  1","  0","  2","  1","  4","  1","  0","  1"," 24"," 11","  0","  0","  0","  3","  3","  0","  0","  0","  1","  2","  0","  0","  2","  1","  3","  1"," 83","  3","  1","  6","  0","  0","  1","  1","  1","  4","  0","  0","  2","  3","  1","  1"," 39","  6","  5","  2","  0","  0","  2","  1","  1","  2","  0","  0","  1","  0","  4"," 77","  1","  0","  3","  2","134","  5","  0","  2","  0","  0","  0"," 15","  0","  4"," 24","  0","  2","  0","  1","  0","  0"," 10","  0","  4","  2","  0","  0","  0","  0","  1","  2","  0","  0","  2","  2","  4"," 24","  1","  2","  1","  1","  1","  1","  0","  1","  0","  2","  0","  1","  1","  1","  0","  0","  0","  1","  6","  2","  8","  0","  3","  0","  2","  2","  0","  0","  3","  0","  1","  1","  0","  1","  0","  3","  3","  1","  0","  2","  1","  2","  0","  1","  6","  0","  4","  1","  1","  2","  1","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  4"," 15","  0","  6","  3","  0","  5","  1","  1","  0","  0","  1","  2","  0","  0","  2","  0","  1","  2","  0","  0","  1","  2"," 40","  9","  0","  0","  0","  0","  7","  1","  0","  2","  1","  1","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  1","  3","  0","  0","  2","  3","  0","  0"
"RASGEF1C","   2","   3","  15","   6","   2","   0","   2","   8","   6","  11","   1"," 136","   3","   3","   4","   2","   3","   4","   0","  21","  11","5243","   2","  12","   1","   1","  23","   5","  42","   2","   1","  11","   1","   5","   7","  27","   1","  32","  30","  45","   2","   7","   1","   8","   0","   2","   3","   1","   0","  27","   1","   0","  62"," 405","   0"," 161","   3","   2","   5","   9","   2","   8","   0","  30","  31","   4","   2","   7","  31","   2","  29","   0","   4","  10"," 368","   4"," 153","   4","  11","   4","   2","   2","  34"," 276","   0","   4","   3","  30","  33","   2"," 426","   0","   0","   0","   5","  29","   4","  22","   4","  31","   4","   4","  17","   2"," 284","   0","   0"," 248","   3","   6","   7","   1","   2","   0","   2","   2","   4","   4","   0","   5","   7","   3","  29","   4","   0","  16"," 637","   1","  10","   7","   3","   0","   3","   0","   0","  71","   0","   4","  14","   1","   5","   6","   0","   5","   9","   3","  10","  73","   2","  33","   1","  13","   2","   2","   6","  16","   1","   2","   0","  59","   1","   6","   0","  13"," 160","   1","   7","   7","   2","   0","  18","   2","   7","   6","   0","   9","   0","  12","  28","   9","  55","   8","   0","   1","   0","   3","   0","  29","   2","   0","   3","   2","  11","   4","   3","  17","   1","   1","   2","   2","   6"," 699","   3","  33","  86","   7","   4","   2","   1","  21","   6","   2","  40","   2","   3","   4","   0"
"CLVS2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  4","119","  2","  0","  7"," 37","  0","  0","  3","  0","  4","  0","  0"," 63","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","125","  0","  0","  1","  1","  0","  1","  4","  0","  2","  0","  1","  0","  0","  3","  0","  2","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0"," 65","  0","  2","  0","  2","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  7","  0","  0","  0","  0","  1","  0","  1","  0","  9","  0","  1","  9","  0","  2","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  0","  1","  0","  2","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 23","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  3","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 23","  1","  0"
"CRH"," 0"," 9"," 1"," 0"," 0"," 0"," 1"," 5"," 0"," 0"," 0"," 0"," 3"," 0"," 2"," 0"," 4"," 0"," 0"," 1"," 0"," 0"," 0"," 4"," 1"," 1"," 6"," 0"," 0"," 7"," 2"," 1"," 5"," 5"," 1"," 1"," 0"," 1"," 0"," 3"," 4"," 0"," 0"," 2"," 3","61","29"," 3"," 1"," 3"," 2"," 0"," 0","41"," 4"," 1"," 3"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 2"," 2","12"," 9"," 0"," 2"," 0"," 0"," 2"," 0"," 2"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","45"," 0"," 2"," 3"," 3"," 8"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 1"," 1"," 2"," 0"," 2"," 0"," 2"," 0"," 0"," 1"," 1"," 0"," 2"," 2"," 2"," 3"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 4"," 0"," 7"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1","15"," 0"," 0"," 1"," 0"," 2"," 0"," 0"," 0"," 0"," 0","19"," 0"," 0"," 2"," 0"," 1"," 9"," 1"," 7"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 4"," 0"," 0"," 1"," 0"," 0"," 1"," 5"," 0"," 4"," 0"," 0"," 0"," 2"," 0"," 7"," 0"," 0"," 0"," 0"," 2"," 0"
"INA"," 342","  59","   3","   2","1386","   8"," 669","   3"," 126","   9","   0"," 655","   2"," 168","   6","  23","5930","   5","  24","  26","  40","   4"," 381","   3"," 549","4296","2717"," 264","   7","   4","   2"," 120","   7","   4"," 269","   4","   2","  48","  19","   1","   5","   7","  18","  14"," 183","  16","   8","   4","  10","1654","   3","  33","  20","2517"," 420","   5","   6","   9","   4"," 142","  26","   8","   5"," 193","  24"," 527","  14","   1","   9","  28","   7","   2","  24","   2","  16"," 284"," 539","   4"," 231"," 105","   7","  18"," 984","   4","   3","  43","   9","   7","  47","   4","  46"," 907","  30","   0","  15"," 707","  19"," 622","   6","   4","   6","   3","   9"," 166","  10","   6","   6"," 368","  13","   5","  12","  21","   1","   2","  41","   1","  18","   1","  12"," 775","  79","   7","  41","   3","2488","  32","   9","  77","  18","   4","   8","   1","  44","  18","   1","   5","   8","  35","1924","  41","   8","   9","   3"," 124","  65","   3","   2","  20"," 303","  44","   2","   3","   6","   1","   3","   1","  54","   0"," 169"," 440","   0"," 165","   0","  13","   3","   7","  19","  18","   2","   0","  11","   2","   3","1707","   3"," 322","   1","   6","1197","   2"," 137","  19","   4","   3"," 226","   2"," 306"," 113","   6","   4","   2","   5"," 145","   6","   2"," 449","   3","  12","   1","   6"," 246","  17","   3"," 648","  20","   1","  20","  48","   9"," 579","   6","  12","   1","  11","   4","  61","  13"
"HTR3B","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 80","  2","  1","  2","  0"," 14","  0","  0","  0","  1","  0","  1","  0","  0","  0"," 16","  1","  5","  0","  0","  0","  0","  0","  2","  2","  1","  2","  0","  4","  0","  0"," 39","  0","  0","  0","696","  0","  3","  2","  0","  0","  0","  2","  2","  1","  0","  0","  0","  0","  0","115","  0","  0","  0","  0","  0"," 60","  0","  3","  1"," 33","  1","  1","  5","  0","  0","  0","  1","  0"," 14","  0","  0"," 73","  0","  0","  0","  0","  0","  2"," 86","  0","  2","  3","  0","  0","  0","  0","  0","  1","  0"," 30","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  3","  0","  0","  4","  0","  0"," 12","  0"," 13","  0","  0","  0","  0","  3","  1","  3","  0","  0","  3","  0","  3","  0","  1","  1","  0","  0","  0","  1","  0","  0","  2","  0","  4","  0","  0","  7","  0"," 12"," 47","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 13","  0","  2","  1","  1","  1","  0","  1","  0"," 15","  6","  1","  0","  0","  0","  1","  0","  1","  0","  2","  0","  2","  0","  3","  1","  0","  0"," 11","  0","  2","  0","  3","  0","  0","  0"
"GPR26","    2","    1","    1","    0","    0","    0","    1","    0","    2","    0","    2","    0","    2","    1","    0","    2","   51","    1","    1","    0","    7","    1","    0","    1","    0","    1","    1","    0","    0","    3","    2","    0","    0","    0","    0","    1","    1","    0","    1","    0","    4","    1","    0","    0","  272","    1","    0","    0","    0","   31","    1","    0","    1","    1","    0","    4","    0","    3","    0","    1","    3","    0","    0","    0","    3","  119","    4","    0","    0","    0","    0","    0","    1","    2","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    1","    3","    3","    3","    0","    1","    0","    2","    0","    1","    1","    0","    3","    1","    1","    0","    1","    1","    6","    1","    5","    6","    1","    1","15079","    1","    0","    2","    0","    0","    0","    0","    2","    0","    0","    0","   20","    3","   92","    1","    3","    1","    0","    1","    0","    0","    0","    0","    0","    1","    0","    2","    5","    0","    0","    2","    0","    1","    0","    0","    0","    1","    2","    0","    3","    2","    0","    1","    1","    3","    0","    2","    0","    0","  211","    1","    0","    1","    4","    1","    0","    2","    4","    0","    0","    0","   39","    0","    0","    3","    0","    0","    3","    1","    5","    2","    0","    3","    1","    0","    1","    4","    1","    1","    1","    0","    3","    0","    1","    0","    0"
"DPYSL5","   5","   1","   1","   0","   0","   2","   0","   6","   0","   0","   0","   1","   1","   4","   0","   0","  33","   2","   0","  30","   1","   0","4592","   1","   1","3173","1746","   1","   0","   2","   1","   2","   0","   1"," 226","   0","   0","   4","   0","   1","   3","   0","   4","   4","   1","   0","   0","   2","   0","  24","   0","   0","   9","1077","   2","   1","   0","   1","   1","   1","   1","   2","   0","   0","   0"," 908","   1","   0","   0","   1","   0","   0","   1","   1","   0","   3","   2","   0","   0","   0","   2","   0","   1","   2","   2","   0","   0","   0","   0","   0","   1","   1","   0","   2","   6","   1","   0","   0","   0","   0","   1","   0","  13","   2","   2","   0","   3","  66","   1","   7","   2","   2","   0","   2","   1","   1","   1","   0","   1","   1"," 272","   1","   0","   0","  29","   2","   3","   1","  23","   0","  22","   0","   2","   0","   0","   2","   2","   0","   5","   0","  26","   0","   1","   4","   1","   1","   1","   2","   1","  27","   0","   0","   3","   0","   0","   0","   1","   1","   1","   0","   1","   1","   0","   1","   3","   0","   0","   0","   1","   0","   0","   0","   1","   2","   3","   4","   0","   2","   1","   0","2584","   0","   1","   0","   3","   1","   1","   1","   1","   0","   1","   0","  15","   0","   0","   1","   5","   0","   0","   1","   3","   1","   0","   1","   0","   1","   1","   2","   1","   4","   0","   1","   2","   0","   1","   0","   4"
"ALB","    8","   22","    5","    6","    0","    2","   30","   12","    9","    4","   32","   11","   25","    5","  325","   90","   67","  571","   12","    0","    5","   27","    1","   15","    2","    3","    5","    7","    0","    9","    2"," 1595","    6","   24","  112","   12","   14","   18","    5","   27","   34","    7","    9","    1","   29","   27"," 5441","  325","    1","    3","  956","   33","   20","   13","    4","   18","    4","    8","    2","21831","   30","    1","47852","    0","   16","    4","   24","    6","    3","    6","    7","    4","   12","   15","    8","  904","    7","   20","   17","    4","   69","  453","   12","    6","  404","    5","   25","    3","  118","    5","   11","    7","   11","    4","    7","    2","   18","   14","   27","  317","   50"," 4611","   20","    4","   49","    0","   27","   16","    1","    6","   37","    9","    2","    7","   33","    2","   14","   21","    3"," 1331","    1","   17","  550","    5","    5","    1","   95","   17","    2","   10","    5","    6","    6","    1","    4","   23","  166","    7","   31","  919","    4","   27","   10","  141","   28","    2","   84","    6","    1","   71","    2","   22","    3","    1","   21","    7","    0","   11","   18","    2","   22","   13","    3","   56","   37","    7","   15","    0","   12","    2","   19","   10","    6","    2","    5","   55","   11","   15","   12","    3","    1","    9","   15","  470","    9","  225","  294","  307","    6","    0","   50","    0","    8","   25","    2","    3","    2","    5","    4","    6","   12","   13","   43","   30","    9","    2","    8","    3","    8","    5","  169","    6","   21","   43","   60","    3","   76"
