"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"PKIA",0.0780810053691121,3.435555164062,0.679849772778767,0.877602966534706,"High vs Low","PKIA",0.877602966534706
"COPS7B",0.024766266935744,5.51266468336615,0.679925332031302,0.877602966534706,"High vs Low","COPS7B",0.877602966534706
"SRP14",-0.0297045869795454,7.64502079739003,0.679925737502502,0.877602966534706,"High vs Low","SRP14",0.877602966534706
"SUSD3",-0.0540768725399856,2.61260041729116,0.679946673322068,0.877602966534706,"High vs Low","SUSD3",0.877602966534706
"MAP7D3",0.047665625008696,3.11504734095059,0.679971736875321,0.877602966534706,"High vs Low","MAP7D3",0.877602966534706
"USP24",-0.0273304472127029,6.31372208177932,0.679978249341604,0.877602966534706,"High vs Low","USP24",0.877602966534706
"TEP1",-0.0320151208395729,5.8687880299813,0.679981205369209,0.877602966534706,"High vs Low","TEP1",0.877602966534706
"RFC2",0.0364172237650219,5.17233887571018,0.680001620299426,0.877602966534706,"High vs Low","RFC2",0.877602966534706
"HLA.DRA",-0.0622583006074777,10.7997922300081,0.680138261708973,0.877719287198935,"High vs Low","HLA.DRA",0.877719287198935
"IER2",-0.0419040123861406,6.77383935549715,0.680259200470061,0.877815329052962,"High vs Low","IER2",0.877815329052962
"TLL1",-0.0662356563115959,1.6143863116328,0.680321583518598,0.877835801885775,"High vs Low","TLL1",0.877835801885775
"ZC3H8",-0.0316733328796922,3.5458540567087,0.680376578396922,0.877846739431718,"High vs Low","ZC3H8",0.877846739431718
"ISPD",0.051116236905429,1.68178429890928,0.680638100777294,0.87806858740596,"High vs Low","ISPD",0.87806858740596
"KANK3",0.058390771974862,2.5092717856623,0.680641582140554,0.87806858740596,"High vs Low","KANK3",0.87806858740596
"FCN1",-0.0792290100533343,4.0209058167476,0.68073795427778,0.878085549686665,"High vs Low","FCN1",0.878085549686665
"DSCR3",-0.0229488611195285,5.68688028573668,0.680747792481368,0.878085549686665,"High vs Low","DSCR3",0.878085549686665
"IL27RA",0.0514653057991661,5.44947437424816,0.680839064971326,0.878143257130332,"High vs Low","IL27RA",0.878143257130332
"TMC5",-0.0588539188103386,7.33925549463108,0.681029767713417,0.878329192627112,"High vs Low","TMC5",0.878329192627112
"HBS1L",-0.0304038301632855,5.4204282590912,0.681156578669009,0.878396318556646,"High vs Low","HBS1L",0.878396318556646
"TEAD4",0.0471745842099895,3.80323721775008,0.681174909954849,0.878396318556646,"High vs Low","TEAD4",0.878396318556646
"CNNM2",-0.0308464682759848,3.98731405525125,0.681258255812929,0.878443768052325,"High vs Low","CNNM2",0.878443768052325
"CCDC43",-0.0285009285836205,5.04255576074556,0.681341793026179,0.878481436024785,"High vs Low","CCDC43",0.878481436024785
"HNRNPUL2.BSCL2",0.0467404043184207,-0.340514116014117,0.681380572258745,0.878481436024785,"High vs Low","HNRNPUL2.BSCL2",0.878481436024785
"TINAGL1",-0.059013095623468,5.74355044545496,0.681620849249118,0.878731182277641,"High vs Low","TINAGL1",0.878731182277641
"OTUD6A",-0.156440383929609,-4.39498476379816,0.681870739810011,0.878993287174993,"High vs Low","OTUD6A",0.878993287174993
"STARD5",-0.0426827050811951,1.635600298389,0.681922393459152,0.878999828344786,"High vs Low","STARD5",0.878999828344786
"TBC1D29",-0.114448211851608,-2.65068919274392,0.68199916029929,0.879038737381866,"High vs Low","TBC1D29",0.879038737381866
"AQP12A",-0.245411897152802,-4.20765587508595,0.682053222245028,0.879048378430946,"High vs Low","AQP12A",0.879048378430946
"ZC4H2",0.0592250071419059,2.57067643564097,0.682148755882059,0.879111464334517,"High vs Low","ZC4H2",0.879111464334517
"RNF213",-0.041520414893075,8.81866469714121,0.68224641860923,0.879177285275525,"High vs Low","RNF213",0.879177285275525
"WIPF3",0.0791310272708087,2.21568585758338,0.682406270712321,0.879254627459879,"High vs Low","WIPF3",0.879254627459879
"PEX11A",-0.0448960479035043,3.31907319259302,0.682413490264437,0.879254627459879,"High vs Low","PEX11A",0.879254627459879
"IFT122",-0.0328938363894737,4.82544260754032,0.682446215272368,0.879254627459879,"High vs Low","IFT122",0.879254627459879
"RUNDC3B",0.0765901970863115,0.17633865522167,0.682541554428052,0.879271499229284,"High vs Low","RUNDC3B",0.879271499229284
"TOPBP1",0.0384130285966732,5.56893558280065,0.682552498129923,0.879271499229284,"High vs Low","TOPBP1",0.879271499229284
"CREBBP",0.0311611643393187,6.97967262267647,0.682637939131071,0.879288841406993,"High vs Low","CREBBP",0.879288841406993
"PTGDR2",-0.0683259962522161,-0.749728902000104,0.68265914977764,0.879288841406993,"High vs Low","PTGDR2",0.879288841406993
"CBWD7",-0.0444405071623907,0.890054886755917,0.682880529218633,0.879513954878844,"High vs Low","CBWD7",0.879513954878844
"CCM2L",-0.0568247069923205,1.79230922890865,0.682948686559315,0.879541709142212,"High vs Low","CCM2L",0.879541709142212
"FMR1NB",0.20917639163386,-1.39128257960578,0.68306366326061,0.879629752244504,"High vs Low","FMR1NB",0.879629752244504
"PPT2",0.0494903628440027,2.68441912450732,0.683164757196926,0.879699906725567,"High vs Low","PPT2",0.879699906725567
"FAM107A",0.0793193431940377,3.60763698007447,0.683309619617677,0.879756900759328,"High vs Low","FAM107A",0.879756900759328
"CLEC2D",0.0496485901148821,4.10348060744425,0.683373071435652,0.879756900759328,"High vs Low","CLEC2D",0.879756900759328
"P3H1",0.0323248856259158,5.59472764133915,0.683410340276886,0.879756900759328,"High vs Low","P3H1",0.879756900759328
"ZDHHC18",-0.0309841287566997,6.00927894419169,0.683437007653553,0.879756900759328,"High vs Low","ZDHHC18",0.879756900759328
"VIL1",-0.151514807104884,4.85915103366962,0.683442115687126,0.879756900759328,"High vs Low","VIL1",0.879756900759328
"RFTN2",-0.0435974099645688,2.02808145499306,0.683489485287204,0.879757866233874,"High vs Low","RFTN2",0.879757866233874
