"","TCGA-97-7937","TCGA-62-A472","TCGA-49-6743","TCGA-86-8279","TCGA-55-8208","TCGA-50-6593","TCGA-95-A4VN","TCGA-55-8614","TCGA-86-8668","TCGA-NJ-A4YQ","TCGA-44-2661","TCGA-97-7553","TCGA-50-5068","TCGA-55-5899","TCGA-L9-A7SV","TCGA-93-A4JP","TCGA-NJ-A55R","TCGA-97-A4M7","TCGA-49-4514","TCGA-93-7347","TCGA-95-A4VK","TCGA-44-7667","TCGA-MP-A4TI","TCGA-55-6979","TCGA-44-6778","TCGA-86-8673","TCGA-44-A4SS","TCGA-86-8358","TCGA-38-6178","TCGA-49-4506","TCGA-97-8172","TCGA-O1-A52J","TCGA-49-AAQV","TCGA-53-7626","TCGA-97-A4M2","TCGA-50-5931","TCGA-L9-A743","TCGA-50-8457","TCGA-MP-A4T9","TCGA-97-8175","TCGA-99-8025","TCGA-55-8615","TCGA-86-8075","TCGA-49-6745","TCGA-49-AARQ","TCGA-83-5908","TCGA-64-1680","TCGA-44-3396","TCGA-53-7624","TCGA-86-7713","TCGA-55-8508","TCGA-49-AARE","TCGA-49-AAR0","TCGA-55-6980","TCGA-MP-A4SY","TCGA-49-6744","TCGA-86-8671","TCGA-49-4510","TCGA-97-8177","TCGA-50-7109","TCGA-78-8660","TCGA-97-7547","TCGA-86-8674","TCGA-49-6742","TCGA-50-5946","TCGA-86-8054","TCGA-MP-A4TD","TCGA-55-6971","TCGA-95-7944","TCGA-NJ-A4YF","TCGA-91-A4BD","TCGA-99-8028","TCGA-97-8171","TCGA-55-6642","TCGA-86-A4P8","TCGA-49-AARO","TCGA-J2-8192","TCGA-62-A46O","TCGA-86-A4JF","TCGA-L9-A8F4","TCGA-55-8507","TCGA-95-7948","TCGA-MN-A4N1","TCGA-55-8091","TCGA-49-4505","TCGA-50-5942","TCGA-J2-8194","TCGA-95-7567","TCGA-MP-A4TH","TCGA-L9-A5IP","TCGA-97-7554","TCGA-55-8619","TCGA-49-AAR3","TCGA-4B-A93V","TCGA-38-4626","TCGA-62-A471","TCGA-86-A456","TCGA-50-5045","TCGA-MP-A4TF","TCGA-93-A4JN","TCGA-44-6774","TCGA-50-5066","TCGA-49-AAR2","TCGA-86-8669","TCGA-86-8076","TCGA-55-8203","TCGA-MP-A5C7","TCGA-MN-A4N4","TCGA-44-7660","TCGA-97-A4M6","TCGA-64-1676","TCGA-97-A4M5","TCGA-55-7728","TCGA-55-8090","TCGA-55-8514","TCGA-62-A470","TCGA-97-8552","TCGA-55-8092","TCGA-55-6983","TCGA-44-7659","TCGA-55-7724","TCGA-55-7570","TCGA-55-A4DF","TCGA-55-7573","TCGA-MP-A4TA","TCGA-55-7907","TCGA-55-7574","TCGA-86-8073","TCGA-64-1678","TCGA-44-5643","TCGA-44-2657","TCGA-86-7953","TCGA-62-A46S","TCGA-55-8204","TCGA-50-5055","TCGA-44-6776","TCGA-55-8085","TCGA-64-1679","TCGA-55-8505","TCGA-55-8621","TCGA-44-3398","TCGA-05-4417","TCGA-55-8096","TCGA-99-7458","TCGA-55-6986","TCGA-44-7672","TCGA-55-8087","TCGA-97-A4LX","TCGA-44-6145","TCGA-86-7711","TCGA-86-7955","TCGA-86-A4P7","TCGA-64-5774","TCGA-97-A4M1","TCGA-97-8179","TCGA-L9-A50W","TCGA-50-5044","TCGA-55-7903","TCGA-55-A4DG","TCGA-55-7726","TCGA-05-4430","TCGA-55-8513","TCGA-05-4420","TCGA-62-A46P","TCGA-62-A46V","TCGA-55-6987","TCGA-55-7281","TCGA-44-2655","TCGA-L4-A4E6","TCGA-05-4427","TCGA-55-8301","TCGA-55-8510","TCGA-55-8302","TCGA-05-4405","TCGA-55-A48Z","TCGA-05-5428","TCGA-55-8097","TCGA-55-7994","TCGA-86-7701","TCGA-44-7670","TCGA-05-4249","TCGA-55-A492","TCGA-S2-AA1A","TCGA-44-6148","TCGA-55-8206","TCGA-55-8094","TCGA-05-4382","TCGA-97-A4M0","TCGA-44-7661","TCGA-55-8205","TCGA-55-7283","TCGA-55-A48Y","TCGA-55-7995","TCGA-44-3919","TCGA-95-7947","TCGA-55-7725","TCGA-55-7227","TCGA-44-A479","TCGA-55-6970","TCGA-55-6543","TCGA-55-1596","TCGA-55-6982","TCGA-05-4398","TCGA-44-A47A","TCGA-55-A57B","TCGA-55-8207","TCGA-55-7576","TCGA-55-A494","TCGA-NJ-A4YG","TCGA-44-7671","TCGA-50-6594","TCGA-55-A491","TCGA-95-8039","TCGA-44-2659","TCGA-44-3917","TCGA-64-5778","TCGA-55-7815"
"INA","   3","   2","1386"," 669"," 126","  13","   9","   2","   0"," 655","   2"," 168","   6","2488","  23","  77","5930","   5","  24","  40","   4"," 381","   3"," 549","4296","   5","   8","2717"," 264","   7","   4","   2"," 120","   7","   4"," 269","   4","   2","  48","   1","  20","  18","  44","  14"," 183","   8","   1","  10","1654","  33","  54","  20","2517"," 420","   5","   6","   9","   4"," 142","  26","   8","   5","  18"," 193","  24"," 527","  14","   3","   1","   9","  28","1197","   2","  24","   2","  16"," 284"," 539","   4"," 231"," 105","   7"," 984"," 226","   4","   3","  43","   7","   4"," 449","  46","   3"," 907","   0","  15"," 622","   6"," 246","   4","   9","  48"," 166","  10","   6","  12","  11","   6"," 368"," 342","  59","   8","   3","   5","  12","  21","   1","  41","   1","  18","   1","  12"," 775","  79","   7","  41","   3","  32","   9","  18","  26","   4","   8","   1","  44","  18","   1","  35","1924","  41","   8","   9","   3"," 124","  65","   3","  19","   5","   7","   2"," 303","   2","   3","   6","  16","   4","   3","   3","   1","   0"," 169"," 440","   0"," 165","   0","  13","   3","   7","  19","   2","   0","  11","   2","   3","1707"," 322","   1","   6","   7","   2"," 137","  19","   4","   3","  18","   2"," 306"," 113","   9","   6","   4","   2","   5"," 145","   6","  47","   2","  12","  30"," 707","   1","  19","   6","  17","   6","   3"," 648","  20","   1","   3","  20","   9"," 579","   6","   1","   4","  61","  13"
"NRSN1","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   2","   0","   0","  18","   0","   1","  73","   0","   0","   0","   1","   0","   0","   0"," 111","   0","   4","1201","   0","   0","  45","   1","   2","   0","   0","   2","   0","   0","   0","   1","   3","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","  60","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   1","   0","   0","   0","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0","   1","   0","   2","   1","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   0","   0","   3","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   3","   1","   2","   0","   0"," 557","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","   1","   0","   0","   0","   2","   5","   2","   0","   0","   3","   0","   0","   0","   1","   3","   0","   1","   3","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   3","   0","   1","  19","   0","   2","   0","  14","   3","   0","   5","   0","   1","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   2","   0","   2","   0","   1","   0"
"ZIC3","   0","   0","   9","   2","   1","   1","   0","   0","   0","   1","   0","   0","   0","   7","   6","   0","   6","   0","   0","  23","   0","3142","   0","   0","   2","   0","   0","   3","   0","   0","   1","   2","   0","   0","   0","  59","   0","   0","   0","   0","   0","  25","   0","   0","   1","   0","   0","   2","   4","   0","   1","   0","  87","   1","  48","   0","   0","   0","   5","   0","   0","   1","   0","   0","   1"," 842","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   2","   0","   0","   1"," 132","  24","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   1","   0","   0","   0","   1","   0","   0","  38","   1","  77","   0","   0","   1","   4","   0","   2","   1","   0","   0","  92","   0","   0","   3","   0","   0","   1"," 296","   1","   1","   0","   0","   1","   0","   0","   4","   0","  43","   2","   1","   0","   0","   0","   0","   1","   5","   0","   2","   0","   0","   1","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   3","   0","   0","   9","  16","   5","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","  10","   0","   0","   3","   0","   0","   1","   0","  16","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"
"DPYSL5","   1","   0","   0","   0","   0","   1","   0","   2","   0","   1","   1","   4","   0","  29","   0","   1","  33","   2","   0","   1","   0","4592","   1","   1","3173","   2","   2","1746","   1","   0","   2","   1","   2","   0","   1"," 226","   0","   0","   4","   1","   2","   4","  27","   4","   1","   0","   0","   0","  24","   0","   1","   9","1077","   2","   1","   0","   1","   1","   1","   1","   2","   0","   0","   0","   0"," 908","   1","   3","   0","   0","   1","   1","   0","   1","   1","   0","   3","   2","   0","   0","   0","   2","   1","   3","   2","   2","   0","   0","   0","   1","   1","   5","   1","   2","   6","   0","   0","   3","   0","  13","   2","   2","   2","   0","   1","   0","   3","  66","   5","   1","   2","   6","   7","   2","   2","   0","   1","   1","   1","   0","   1","   1"," 272","   1","   0","   0","   2","   3","  23","  30","   0","  22","   0","   2","   0","   0","   0","   5","   0","  26","   0","   1","   4","   1","   1","   0","   3","   0","   1","   1","   0","   0","   3","   0","   2","   0","   0","   0","   1","   1","   0","   1","   1","   0","   1","   3","   0","   0","   1","   0","   0","   0","   1","   2","   4","   0","   2","   0","   0","2584","   0","   1","   0","   0","   1","   1","   1","   0","   1","   0","   1","   0","  15","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   1","   0","   1","   0","   1","   0","   1","   1","   4","   0","   2","   1","   0","   4"
"PGLYRP3","   4","   6"," 238","  53","  40","   9","   5","   2","   0","   1","   1","   0","   2","   0","   0","   2","1149","  30","   2","  27","   2","   0","   1","   2","   1","  81","  52","   2","  39","  88","   8","   4","  54","   6","  13","  16","  19","  72","  16","   0","   4","   2","   1","   3","   1","   1","  14","  44","  11","   0","  59","  10","   0","  14","   8","  36","   2","  14","  16","   2","  35","   1"," 148","  42","   4","   1","  10","   2","   1","   0","   1","   2","  23","  27","   0","   2","  19","  10","  27","   0","   5","   4","   5","   6","  19","   0","  20"," 224","   7"," 103","   0","   3","   0","   0","   1","   0","   1","  36","  42","   5","   6","   0","  15","   1","  95"," 177"," 101","   1","   5","  99","   0","   3","   9","   7","  37","   0","   4","   1","  10"," 494"," 391","   2","   2","  54","  12","   0","  19","   0","   1"," 532","   4","   4","   0"," 288","   1","   7","  47","  42","  36","   8","  16","   7","  83","  32","   0","   1","  34","  96","  82","   6","   3","  11","   9","   0","   0","  49","   1","   0","   2","  16","  32","  29","  15","   0"," 563","   3","  37"," 118","   0","   1","  34","  12","   0","  57","   1","   0","  13","   1","  13","  16"," 101","   0","   1","   0","   8","   0","  10","  17","   3","   0","   5","  82","   4"," 130","  15","   4","   2","   2","   5","   3","   0","   5","  40","1082","  10"," 648","  19","   1"," 395","  14","   2","   0","  24","   1","   0","   0"," 650"
"HAND2","   2","   2","   0","   3","   0","   2","   0","   0","  11","   0","   1","   3","   3","   1","   1","   9","   1","   8","   0","   2","   0","  11","  28","   0","   1","   2","   0","  21","   5","   1","   4","   1","   1","   1","   2","  45","   2","   1","   0","   2","   2","   0","   5","   2","   1","   0","   0","  42","  51","   1","   2","   2","   0","  24","   2","  10","  19","   0","   4","   6","   0","   6","   0","   0","   0"," 104","   1","   0","   0","   0","   1","   3","   4","   4","   7","   5","   8","   1","   0","   2","1541","   2","   0","   1","   7","   2","  15","   0","   5","   3","   1","   3","   0","   2","   0","   0","   0","  15","   0","   5","  83","   0","   2","   0","   0","   0","   0","   1","   0","  26","   0","   0","   2","   0","   3","   0","   2","   0","   3","   0","   0","   0"," 127","   0","   1","   0","   0","   1","   0","   0","   1","   1","   0","   2","   0","   1","   0","   2","   4","   3","  11","   1","   5","   7","   0","   3","   1","   4","   0","   0","   3","   3","   1","   1","   1","   0","   2","   0","   0","   3","  12","   2","   1","   0","   1","   0","  14","   0","   0","   0","  23","   0","   0","   6","   0","   0","   3","   0","   0","  11","   2","   2","   0","   0","   3","   0","   4","   0","   2","   4","   0","   2","   6","   0","   0","   0","   3","   1","   1","   0","   0","   0","   2","   3","   0","  21","   0","   0","   0","  12","   0","   3","   0","   1","  12","   0","   2"
"FABP7","    0","    8","    1","    2","   61","    5","   43","    7","    0","    3","    5","   12","    0","    0","    0","   26","    1","   11","    7","    4","   25"," 2256","    0","   13","  108","    8","    1","    0","    1","   41","    1","   10","  206","    3","    4","66916","   70","    7","    7","   19","    6","    5","    3","    2","    2","   14","    7","   11","  558","    4","    0","   15","    7","    7","   48","    4","   12","    1","    4","    2","    2","    0","    1","    3","    1","   14","    4","   39","    0","    4","    2"," 6744","    3","   13","    1","    2","   20","    0","   26","    1","   49","    1","    1","    3","    7","    1","  234","    5","    1","    0","    0","   16","    0","    8","  163","    2","    7","   10","    2","    5","    5","    9","    3","    2","   95","   12","    1","    0","  295","   21","   25","    4","    0","   39","    4","    3","    1","    0","    7","    9","    9","    2","    3","    6","    7","    1","    2","    3","    5","    0","    1","    0","    0","    2","    1","    0","    0"," 2792","    3","    4","   10","    7","    6","   16","    0","    5","    0","   35","   28","    1","    4","  130","    3","    0","   22","   15","    5","    2","   61","    0","   17","   22","   47","    0","    4","   49","    4","    1","   17","    7","    6","    0","    3","    2","    4","   19","    0","    1","    5","    2","   13","    1","    2","    6","    1","    0","    1","    7","    9","    6","    4","    1","    1","  115","    4","    2","    6","   11","  132","    0","    1","    0","  126","    3","    4","    4","    1","    0","    4","    2","    0","    9","   72","    0","    1","   23","    0"
"A2ML1","    7","   10","   22","    1","   57","    3","    4","   45","    2","    5","    5","    9","    0","    3","    2","  399","    8","   21","    3","   60","    9","    0","    5","    3","   11","    1"," 8141","    6","    3","    1","   17","    2","   51","   49","   68","   74","    4","    9","   18","   27","    4","   15","  111","    6","    8","    2","    1","   10","  156","   53","   14","   56","    2","    2","   28","    3","    6","    9","   21","   48","    2"," 1880","   83","   19","    4","   23","   31","   37","   33","    2","    0","    3","    1","    3","    6","    9","  241","   11","    7","    5","   59","   62","   93","    7","    5","    4","    4","    3","   12","   24","    4","   44","    8","    2","   21","   14","    4","    6","    7","    5","    0","    1","    3","    4","   23","   17","   14","   99","  554","    5","    1","   12","   50","   10","    3","    2","    8","   56","   58","    7"," 6948","    6","   20","    4","   17","  746","    7","   16","    3","56090","   50","  177","   13","  818","  152","    4","   17","   30"," 3112","   12","   10","   10","   46","    9","    6","    7","    4","    5","   54","    1","    4","    2","    7","    3","    6","    4","    2","    6","    1","   29","    6","   86","   24","    0","    2","   55","  323","    2","    4","    3","    5","    5","    8","    3","   19","    0","    5","   55","    2","   16","   23","    5","    2","    8","    9","    2","   52","    5","   22","    1","    0","    5"," 4970","   27"," 3512","   16","    7","    5","    6","   31","    2","   20","   16","   14","    8","    3","   26","   14","    4","    5","    0","    4","   11","    7","    9","    4","    5"
"GALR1","  1","  0","  1","  2","  0","  0","  0","  0","  0","  1","  0","  1","  0","414","  1","  0","809","  0","  0","  0","  0","  0","  1","  0","  6","  0","  3"," 33","  0","  1","  1","  0","  1","  0","  4","  0","  1","  0","  0","  1","  2","  1","  2","  0","  0","  0","  0","  1","  1"," 46"," 48","  1","468","  0","  1","  1","  3","  2","  3","  2","  1","  1","  0","  0","  3","161","  0","  0","  0","  1","  0","  0","  0","  1","  0","  4","  7","  0","  0","  0","  6","  0","  0","  1","  2","  0","  0","  1","  0","  3","  0","  0","  0","348","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  1","  3","  1","  1","  1","  0","  0","  1","  1","  5","  1","  0","  0","  0","144","  0","  0","  0","164","  0","  1","  1","  0","  1","  8","  0","  0","  0","  0","  1","  0","  0","  1","  3","  0","  1","  0","  0","  1","  6","  0","  0","  0","  0","  1","  2","  1","  4","  0","  1"," 10","  0","  0","  1","  0","  0","  2","  0","  2","  0","  0","  0","  1","  2","  8","  0","  3","  0","  0","  1","  0","  0","  1","  0","  9","  0","  0","  0","  4","  0","  1","  0","  5","  1","  1","  0","  0","  0"," 19","  0","  0","  1","  0","  0","  1","  0","  0","  1","  1","  0","  0","  1","  1","  1","  0","  4","  0","  0","  1","  3","  2","  0","  3"
"TM4SF20","    1","    0","    1","    1","    5","    0","    3","    1","    0","    5","    1","    2","    0","    0","    3","    4","    9","    0","   10","    1","    0","    0","    2","    0","    3","    0","   10","    4","    0","   12","    3","    1","    1","    3","    2","    1","    0","    0","    1","    0","    1","    2","    0","    0","    2","    2","    0","    2","  617","    0","    0","    0","    1","    2","    0","    3","    3","    3","    3","    1","    0","    3","    8","15673","    0","    2","    7","    1","    4","    0","    1","    1","    0","    1","    2","    2","    1","   41","    0","    3","    2","    0","    0","    1","    2","    2","    1","    0","    2","   90","    0","  290","    0","    2","    5"," 6438","    3","    1","    0","    2","    3","    1","   73","    0","    2","    0","   10","    0","    7","    1","    0","    3","    5","    2","    0","    3","    2","    2","    0","    0","    0","    1","    4","    3","   49","    0","    2","    2","    0","    1","    2","    1","    1","    0","    0","    0","   58","    2"," 2635","    0","    3","    0","    4","    2","    0","    0","    3","    2","    5","   12","    2","    3","    0","    8","    0","    0","    0","    1","    2","    1","    1","    2","    2","   19","    2","    3","    0","    2","    1","    0","    2","    1","    1","    0","    0","    0","    2","    0","    0","    7","    1","    4","    1","    0","    3","    6","    2","    0","    0","    1","    0","    1","    4","    1","    1","    0","    1","    1","    0","    0","   99","    0","   13","    0","    0","    0","    1","    0","    1","    1","    0","    2","    2","    1","    5","    0","    4"
"KRT13","   70","   12","    5","   68","   22","    6","   68"," 4566","   13","    6","   19","   74","    4","    0","    2","  128","   14","   54","   33","   33","    3","   13","   21","   76","   19","    3","   17","   21","   35","   67","  229","    7","   30","   24","   79","  213","   24","  190","   43","   64","   18","   13","   31","   70","    7","    3","   16","    9","  104","  144","   21","    1","   21","    4","   49","    8","   11","   45","  367","   29","   28","   43","   37","    3","  175","   10","    5","    7"," 3305","    0","   12","   24","   14","    6","   82","   19","   89","  346","    2","    3","   15","   18","   60","    5","   10","    5","   27","  310","   24","   41","   48","   94","    2","    1","  570","   28","   11","   55","  268","   97","    2","    9","    1","    0","   36","   24","    0","   30","   15","   38","    4","  292","  117","  275","  105","    2","   22","   18","  106","    5","  252","    4","   13","   24","    1","  103","   66","   33","   13","80016","  124","    4","    7","59647","   21"," 5328","   18","  625","   65","   93","  112","    3","   21","   19","    5","   18","    3","    7","   99","    5","    4","   30","    1","   46","   32","   18","   26","   10","  226","    8","   84","   63","    2","    3","    9","   60","   75","   62","   38","    2","   25","   16","  563","    7","   36","   13","  105","   49","    8","   34","   10","  169","    3","   45","    4","   68","  112","    5","  777","   33","   11","   43","    5","  278","   13","    4","   48","    0","   19","   28","    1","    5","   15","  225","   37","    6","  167","   20","   19","  110","   22","   15","    8","    3","    0","  149","    0"
"SYCE1","  3","  1","  1","  0","  0","  1","  0","  1","  0","  8","  1","  7","  0","  5","  7","  1","674","  4","  1","  1","  2","  5"," 98","  0","157","  0","  4","  0","  0"," 10"," 15","  3","  3"," 14","  4","  0","  2","  1","  0","  1","  2","  3"," 11","  3","  1","  2","  1","  1","113","  4","  3","  0","  3","  5","  7"," 82","  0"," 10","  8","  1","  0","  0","  1","  2","  0","  1","  1","  0"," 18","  5","  0","  3","  0","  2","  0","  3","  0","  0","  0","  6","  1","  0"," 11","  1","  1","  0","  0","  2","  0","  4","  2","  4","  6","  1"," 10","  4","  3","  1","  0","  1","  0","289","407","  1","  8","  1","  3","130","  1","  3","  0","  1"," 10","  2","  0","  1","  1","  1","  0","  1","  0","  9","  2","  0","  2","  2","  0","  1","  1","  1","  3","  1","  8","  4","  2","  0","  3"," 78","  1","  0","  0","  6","  0","  3","  1","  2","  5","  0","  1","  3","  0","  3","  0","138","  0","  0","  2"," 85","  2","  0","  0","  1","  3","  0","  0","  0","  0","  7","  2","  4","  3","  3","  0","  0","  0","  4","  3","  6","  0","  1","  2","  0","  2","  0","  4","  0","  5","  1","  3","  3","  2","  0"," 20"," 10","  0","  0","  1","  4","  0","  1","  1","  0","  6","  1","  1","  0","  2","  0","  0","  0","  0","  1","  4","  2","  5","  3","  0"
"SCG2","    36","    10","    66","   145","    81","    95","    54","   105","    76","    20","   187","    46","    17","175462","    31","    13","212955","   142","    17","   106","   106","   232","    53","    41","  4515","    28","    78","  3877","    99","   669","   276","    96","   136","   134","    37","  2165","    74","    44","    86","    73","   127","   198","   256","    84","    20","    66","     9","   177","    69","   154","   240","    56"," 14612","    84","   158","    80","   148","   132","   365","  1184","     9","   213","    46","    85","    25","   451","  1002","    53","    46","    30","     8","    89","    58","   105","    30","    50","   300","    96","    33","   139","   211","    43","    48","   145","   180","   100","   227","    46","    44","   595","    94","    83","    28","   339","   169","    40","    56","   106","   351","   242","   237","    26","    33","   164","    81","    86","    49","   143","    42","   220","     9","   201","   122","    48","    42","   173","    41","   116","   434","    42","    55","  8089","   142","    60","   109","    31","    87","   418","   746","    62","    74","   131","    60","   131","    78","    78","    41","   277","   108","   213","   207","   170","   328","   808","    49","   154","   211","    63","    55","    97","    55","    79","    97","    80","   573","    31","    45","    24","    67","    87","   182","    50","    73","    15","    61","   167","    46","   140","    72","    37","    69","    32","    54","    97","    59","    30","   224","    41","   168","    77","    53","   315","   102","    57","   424","  7949","   419","    72","   177","    75","    42","    72","    80","    82","    56","     9","   119","   139","    76","    75","    25","    43","    80","    43","   150","   283","   116","   136","    29","   187","     8","    38","    62","    69","    51","    10","    21"
"INSM1","    0","    3","    1","    5","   17","    4","    2","    3","    7","    6","   16","    7","    4","12470","    1","    4","19652","   23","   11","   17","    7"," 2186","   14","    2"," 4526","    1","    0"," 7858","    0","    1","   29","    2","   21","   22","   18","  346","   11","    4","    4","    4","   10","   68","    3","    3","    0","    4","    0","    9","    6","  114","  735","    5"," 3658","    8","    3","    6","   19","    0","   27","  452","    4","    4","   13","    3","    0"," 3870","   11","    7","    2","    2","    2","   21","    1","    0","    4","    8","   10","    0","    2","    2","  746","   15","    0","    7","    4","    0","    0","    3","   21","    2","    3","   14","    1","    3","    4","    4","   14","   17","    3","   18","    9","    2","    3","   40","   13","    9","    1","    4","    9","   11","    1","    6","   58","    8","    4","   36","    8","    2","  168","    2","    4","  310","  145","   19","    3","    1","    3","    5","    0","    5","   12","   23","    6","    3","   13","    6","    5","    3","    4","   29","   26","   19","    5","   53","    3","    7","    3","   28","    2","    1","    2","    1","   47","    2","    3","    2","    1","    2","    4","    3","   15","    4","   20","    0","    2","    9","    2","    9","    9","    1","   21","    8","    4","    4","   38","    0","   10","    7","   43","    6","   25","    9","   10","   28","   23"," 7591","    9","   10","   27","   15","    3","    1","    8","    5","    3","    6","    4","   11","   15","    1","    3","    3","   13","    7","    7","    4","   12","    1","    1","    5","    2","    3","   13","    1","  658","    5","    0"
"GALNTL6","  10","   3","   4","  10","   7","  16","  13","  49","  11","   9","   9","  51","  10","   2","   6","  22"," 553","  58","  14","  59","  40"," 170","   9","   5","  27","  87","   1","  38","   3","   6","  70","   6","  11","  22","  53","  51","  45","   6","  13","  17","   4"," 715","   9","  19","  14","  16","   3","  20","   2"," 171"," 101","   4"," 128","   2","  20","  39","  15","1321","  42"," 745","   4","  12","1212","  67","  11","  57"," 164"," 757","  21","   2","  16","  17","  22"," 166","  12","  19","  63","  13","  18","   5"," 327","   7","  19"," 234","  22","  13"," 413","   1"," 773","   3","   0","  11","   7","1178","  48","  16","  14","  28","  28","  61","   1","  25","1198","  92"," 433"," 326","1813","   1","  23","  13","   6","  47","   7","   7","   5","  60","  25","  84"," 251","   7","  46","  18","   5","   9","  41","   3","  24","  39","  61","   4","  21","  58"," 171","  26","  24"," 141"," 339"," 105","  15","  13","  35","  28","  35","  71","  28","   5","  72","  14","  88","  12"," 195","  17"," 488","  19"," 214","  20","  23","  22","  46","   2","  20"," 108"," 189","  70","  15"," 302","   5"," 267","  25","  10","  23","   8","  42","   7","   5","   0","   9","   4"," 686","  61","   6"," 163","  57"," 100","  45","  29","   9","  12","   8","  23","   2","  24","   7","  27","  49","   7","  14","  31","  37","   3","  10","   1","  11","  15","  74","   7","  10","   2","   4"," 227","   3","   1","  17","  28"," 203","  13","   5"
"OLIG3","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 58","  1","  2","  1","  0","  0"," 32","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 94","  0","  0","  0","  0","  1","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 11","  0","269","  0","  0","  0","  1","  0","  2","  0","  0","  0","  2","  0"," 13","  0","313","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 77","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  6","  1","  0","  0","  0","  1","  0","  0"," 10","  0","  0"
"CALML3","    5","   38","    1","    4","    4","   11","    9"," 4012","    7","    0","    0","   13","    1","    1","    5","    4","    1","    8","    2","    2","    0","   36","    4","    7","  133","    3","    1","   34","    2","    0","    8","    1","    6","    0","    7","  140","    0","   11","    9","    3","   20","   24","    4","    1","    1","    1","    1","    2","    1","   18","   11","    5"," 1449","    8","    2","    2","    9","    7","   32","  277","    0","    1","    4","    1","   79","    9","   50","    3","    5","    6","    0","   13","    2","    2","    0","    2","   21","    3","    0","   26","   13","    1","   44","    1","    6","    0","    0","    9","    0","    2","    4","   28","    2","  246","    1","  617","    7","    4","    7","    7","  142","    1","    8","  127","    3"," 1102","  159","    3","  126","    1","    0","    4","   32","   10","    4","  963","    1","    2","  874","    2"," 1662","  124"," 3657","   17","    3","    3","   14","    1"," 1049","25307","    1","    0","    0"," 1294","    4","    0","    8","   11","    8","    6","    5","   24","    5","    8","    0","    5","    0","   16","   14","    1","    6","    2"," 5739","    1","   16","    5","    0","   16","    4","   28","    5","    1","    8","    3","    2","    4","    2","    0","    1","   16","  163","    4","   47","    5","   11","    2","    1","   53"," 2750","    0","    2","   79","    2","   62","    2","   22","   10","    6","   11","    2","    1","    0","   11","    2","    3","    0","    9","   33","    2","    5","    3","    0","   74","   70","    1","    3","    8","   41","    5","    5","    3","    0","    1","    5","    5","   10","    0"
