"","logFC","AveExpr","t","P.Value","adj.P.Val","B","group","genesymbol"
"SLC37A4",-0.185914967138933,5.94824268892636,-0.567859464603656,0.570720854798326,0.897675199968479,-5.13400516009726,"High vs Low","SLC37A4"
"CASZ1",-0.0747219300393429,1.76387090771407,-0.567826001587319,0.570743538388151,0.897675199968479,-5.13401909571174,"High vs Low","CASZ1"
"GSTM2",0.101127647427904,1.72264510103498,0.56775523514519,0.570791510291863,0.897675199968479,-5.13404856357798,"High vs Low","GSTM2"
"MEIG1",-0.0216199663261137,0.248065607663784,-0.567743889573749,0.570799201527588,0.897675199968479,-5.13405328764901,"High vs Low","MEIG1"
"RFXAP",-0.0640330329555634,2.19554356251499,-0.567733684831776,0.570806119430145,0.897675199968479,-5.1340575366209,"High vs Low","RFXAP"
"VPS41",-0.302174035543255,10.1511574153447,-0.567478158627045,0.570979356454393,0.897778102595344,-5.13416390585037,"High vs Low","VPS41"
"TRIM29",0.88518988462193,4.6085467767383,0.567358829452781,0.571060265717601,0.897778102595344,-5.13421356328913,"High vs Low","TRIM29"
"STARD13",0.0786497821090162,1.72319819586416,0.567355290334353,0.571062665444902,0.897778102595344,-5.13421503589298,"High vs Low","STARD13"
"PDIA4",-8.02641349693235,159.508342634658,-0.567270235873597,0.571120338750059,0.897778102595344,-5.13425042374065,"High vs Low","PDIA4"
"DCAF4",-0.0807398914177293,2.84427941030264,-0.567234507739805,0.571144565937678,0.897778102595344,-5.13426528724884,"High vs Low","DCAF4"
"XRCC2",0.0949561143170823,1.47288195968225,0.567084033202057,0.571246607874726,0.897852664819448,-5.13432787696709,"High vs Low","XRCC2"
"SCARA3",-0.343867840813882,5.34481205674167,-0.566740454125019,0.57147963335288,0.89789319390511,-5.13447072629562,"High vs Low","SCARA3"
"FAM21A",-0.169474598450685,6.67254111222682,-0.566681430550817,0.571519669466585,0.89789319390511,-5.13449525775264,"High vs Low","FAM21A"
"SLC25A15",-0.176007213556018,3.40290546785682,-0.566667159029134,0.571529350143777,0.89789319390511,-5.13450118891949,"High vs Low","SLC25A15"
"NLRP1",0.192891582027301,3.12305878146541,0.56662216063811,0.571559874025225,0.89789319390511,-5.13451988903191,"High vs Low","NLRP1"
"COQ3",-0.194441621955334,4.10964795191677,-0.566553317520154,0.571606574076285,0.89789319390511,-5.13454849550388,"High vs Low","COQ3"
"GAB3",-0.0873015506050896,1.6854021569553,-0.566478039293064,0.571657641505117,0.89789319390511,-5.13457977200195,"High vs Low","GAB3"
"CCT3",3.62745434649376,86.1975801283359,0.566436776750567,0.57168563421709,0.89789319390511,-5.13459691395174,"High vs Low","CCT3"
"FGF18",0.198785629818015,1.35091634540701,0.566355131152249,0.571741024927072,0.89789319390511,-5.13463082881483,"High vs Low","FGF18"
"LIMK2",-0.44029875952211,10.4359792891717,-0.566263123322984,0.571803448750251,0.89789319390511,-5.13466904222069,"High vs Low","LIMK2"
"AZGP1",-8.70848225684601,43.4704747772468,-0.566240952552572,0.571818491265077,0.89789319390511,-5.1346782494324,"High vs Low","AZGP1"
"SDR42E1",0.0508928326064703,1.02379401363381,0.565758382618898,0.572145954211235,0.898321598466494,-5.13487856501326,"High vs Low","SDR42E1"
"NUFIP1",-0.0644770398274273,2.51034493379217,-0.565467527012898,0.572343366721167,0.898399222299164,-5.13499921747785,"High vs Low","NUFIP1"
"DNAJB2",0.511068946969193,18.2778414050385,0.56545102717904,0.57235456663463,0.898399222299164,-5.13500606007164,"High vs Low","DNAJB2"
"PRRC1",-0.270933817278374,10.4001883727747,-0.565444032209048,0.572359314778235,0.898399222299164,-5.13500896087343,"High vs Low","PRRC1"
"SUPT6H",0.368807943245743,14.9082368101154,0.565230770572188,0.57250408453819,0.898471414339548,-5.13509738294031,"High vs Low","SUPT6H"
"RPL17",-0.919778505349621,15.4558619204688,-0.564936534705772,0.572703851290696,0.898471414339548,-5.13521932381102,"High vs Low","RPL17"
"TMEM71",0.0951085770192339,1.25280233398383,0.564853030787428,0.572760551014585,0.898471414339548,-5.13525391901535,"High vs Low","TMEM71"
"CARD14",-0.185443109424672,1.55338303756484,-0.564724640211468,0.572847734315418,0.898471414339548,-5.135307100571,"High vs Low","CARD14"
"TTC34",-0.0177562920951638,0.182009071990871,-0.564664098761605,0.572888847036349,0.898471414339548,-5.13533217368839,"High vs Low","TTC34"
"SFRP4",2.61237329060285,21.929757952356,0.564632445144361,0.57291034305795,0.898471414339548,-5.13534528190294,"High vs Low","SFRP4"
"SMOC1",0.76890977904154,4.38907119165004,0.564593798971036,0.572936588257978,0.898471414339548,-5.13536128484224,"High vs Low","SMOC1"
"GPBAR1",0.0303344554507871,0.425887328310735,0.564557656358662,0.5729611337718,0.898471414339548,-5.135376250098,"High vs Low","GPBAR1"
"ZNF814",-0.0335598376539196,0.876267905258636,-0.564518452996868,0.572987758498854,0.898471414339548,-5.13539248161243,"High vs Low","ZNF814"
"LTK",-0.383749789702073,3.5051929920497,-0.564509845557512,0.572993604268592,0.898471414339548,-5.13539604523238,"High vs Low","LTK"
"RP11.571M6.15",0.0106403364801154,0.127955317959777,0.564491003021896,0.573006401335878,0.898471414339548,-5.13540384615976,"High vs Low","RP11.571M6.15"
"TXNL4A",0.293464119913725,8.70232224450097,0.564258974424883,0.573163996710606,0.898492214061633,-5.13549988618192,"High vs Low","TXNL4A"
"NFKB1",-0.305270734706518,11.5865074977725,-0.564091797504651,0.573277557222911,0.898492214061633,-5.13556905876732,"High vs Low","NFKB1"
"RIBC1",-0.0803509154163558,1.11214592358471,-0.564053199809344,0.573303777524522,0.898492214061633,-5.13558502638587,"High vs Low","RIBC1"
"SMYD5",-0.245628990113342,11.292925768207,-0.564012931762331,0.573331133144804,0.898492214061633,-5.13560168385795,"High vs Low","SMYD5"
"CH507.9B2.5",-0.0237510507342238,0.555840196883111,-0.563969960034247,0.573360326166199,0.898492214061633,-5.13561945844087,"High vs Low","CH507.9B2.5"
"MAP6",-0.0895662299974365,1.23234340517898,-0.563888228663848,0.573415852669725,0.898492214061633,-5.13565326161977,"High vs Low","MAP6"
"ABCA10",-0.0169852260847719,0.195546326698368,-0.563864885285824,0.573431712120977,0.898492214061633,-5.13566291528324,"High vs Low","ABCA10"
"CASP14",0.240139897650541,0.599107629708906,0.563753635375613,0.573507297997465,0.898492214061633,-5.13570891725854,"High vs Low","CASP14"
"TXN",-9.84784590051132,186.866516204696,-0.563703944177393,0.573541060934465,0.898492214061633,-5.13572946170866,"High vs Low","TXN"
