"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"UBE2R2",4238.71233725634,-0.120682447896695,0.0596504989843575,-2.02315906742612,0.0430567503041971,0.29772027459673,-0.0836506985026668,"High vs Low","UBE2R2",0.29772027459673
"ABHD17B",746.450595568526,-0.0824014548069011,0.0715255641967549,-1.15205599190002,0.249298065571311,0.611083543324873,-0.0571163360734413,"High vs Low","ABHD17B",0.611083543324873
"EXOSC3",758.03984767679,-0.0455743220148054,0.0720619671585836,-0.632432388565136,0.527104375507813,0.80818009360381,-0.0315897128104933,"High vs Low","EXOSC3",0.80818009360381
"ZFAND5",10704.7776711724,0.0899430158996426,0.0743850621417556,1.20915427519894,0.226603580734199,0.589995570453082,0.0623437478818957,"High vs Low","ZFAND5",0.589995570453082
"DVL1",4232.50855790816,0.190896633311637,0.0962737497491424,1.98285237470287,0.0473839217435196,0.311490463451328,0.132319463158347,"High vs Low","DVL1",0.311490463451328
"PDLIM1",7376.73706118874,-0.093979937984828,0.0828833893370548,-1.13388145364867,0.256844277685541,0.619219016932428,-0.065141929043382,"High vs Low","PDLIM1",0.619219016932428
"CCNJ",631.802064917935,0.0408105715262817,0.0791452350785682,0.51564154791844,0.606104786297425,0.84867772014795,0.0282877325904821,"High vs Low","CCNJ",0.84867772014795
"DNTT",1.01706757593682,-0.370023959404258,0.328130361165626,-1.12767364193247,0.259457773236142,0.622068498425311,-0.256481064200689,"High vs Low","DNTT",0.622068498425311
"GATA3",258.63619107188,0.188600266706451,0.148749607958982,1.26790429429876,0.204832130376696,0.568155221420642,0.13072774312043,"High vs Low","GATA3",0.568155221420642
"ATRNL1",23.3720055260808,-0.253570652712585,0.2631900396539,-0.963450794133529,0.335321346278772,0.683145289866401,-0.175761783000473,"High vs Low","ATRNL1",0.683145289866401
"HPS1",3450.45642448529,0.0336061977637271,0.0626064584602394,0.536784839619542,0.591416244889036,0.840904570829996,0.0232940412292674,"High vs Low","HPS1",0.840904570829996
"PHYH",1703.44187170748,0.0345254362598941,0.109261406107017,0.315989309400593,0.752010622589164,0.916675627521989,0.0239312088011478,"High vs Low","PHYH",0.916675627521989
"RASSF4",3600.68756474908,0.0396242254172638,0.117181965703614,0.338142692686043,0.735255659291346,0.911194526311386,0.0274654201298482,"High vs Low","RASSF4",0.911194526311386
